Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,0,-4.6,left,1,1.199812903,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,1,1,80,,,,,,,,,,,,180,90,4.6,right,1,0.617281767,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,2,1,79,,,,,,,,,,,,0,0,-4.6,left,1,0.566847912,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,3,1,78,,,,,,,,,,,,0,0,-4.6,left,1,0.500426411,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,4,1,77,,,,,,,,,,,,0,0,-4.6,left,1,0.433280078,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,5,1,76,,,,,,,,,,,,180,90,-4.6,left,1,1.300053996,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,6,1,75,,,,,,,,,,,,180,90,4.6,right,1,0.499823347,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,7,1,74,,,,,,,,,,,,0,0,-4.6,left,1,0.450688502,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,8,1,73,,,,,,,,,,,,180,0,-4.6,left,1,0.633948471,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,9,1,72,,,,,,,,,,,,180,90,4.6,right,1,0.617043119,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,10,1,71,,,,,,,,,,,,180,90,-4.6,left,1,0.499963781,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,11,1,70,,,,,,,,,,,,180,0,4.6,right,1,0.38369549,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,12,1,69,,,,,,,,,,,,0,0,4.6,right,1,0.616824914,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,13,1,68,,,,,,,,,,,,0,0,-4.6,left,1,0.533253636,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,14,1,67,,,,,,,,,,,,0,0,4.6,right,0,1.183194196,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,15,1,68,,,,,,,,,,,,0,0,-4.6,left,1,0.633505838,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,16,1,68,,,,,,,,,,,,180,90,-4.6,left,1,0.650280534,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,17,1,68,,,,,,,,,,,,0,0,4.6,right,0,1.533905585,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,18,1,69,,,,,,,,,,,,0,90,-4.6,left,1,0.683284633,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,19,1,69,,,,,,,,,,,,180,90,-4.6,left,0,0.90005444,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,20,1,70,,,,,,,,,,,,180,90,4.6,right,0,0.76675503,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,21,1,71,,,,,,,,,,,,180,0,4.6,right,1,0.88350595,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,22,1,71,,,,,,,,,,,,180,0,-4.6,left,1,0.583841701,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,23,1,71,,,,,,,,,,,,0,90,-4.6,left,1,0.60001911,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,24,1,70,,,,,,,,,,,,180,0,4.6,right,1,0.55083138,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,25,1,70,,,,,,,,,,,,180,90,-4.6,left,1,0.783236415,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,26,1,70,,,,,,,,,,,,0,0,4.6,right,1,0.633958248,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,27,1,69,,,,,,,,,,,,180,0,-4.6,left,0,0.917050896,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,28,1,70,,,,,,,,,,,,0,90,-4.6,left,1,0.433217416,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,29,1,70,,,,,,,,,,,,0,90,4.6,right,1,0.600541291,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,30,1,70,,,,,,,,,,,,180,0,-4.6,left,0,0.900761941,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,31,1,71,,,,,,,,,,,,180,0,4.6,right,0,0.666809915,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,32,1,72,,,,,,,,,,,,180,90,-4.6,left,1,0.616736032,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,33,1,72,,,,,,,,,,,,0,0,-4.6,left,1,0.533671381,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,34,1,72,,,,,,,,,,,,180,90,4.6,right,1,1.449971224,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,35,1,71,,,,,,,,,,,,180,0,-4.6,left,1,1.583455509,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,36,1,71,,,,,,,,,,,,180,0,4.6,right,1,0.500825047,right,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
,37,1,71,,,,,,,,,,,,180,0,4.6,right,0,0.700794827,left,,,,,,,,,2,24,2019_Apr_05_1744,Flow_endo_post,3.0.5,59.96197374,
