Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,4.6,0,4.6,right,1,1.542010414,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,1,1,80,,,,,,,,,,,,4.6,0,-4.6,left,1,1.561330728,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,2,1,79,,,,,,,,,,,,4.6,0,-4.6,left,1,1.842443846,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,3,1,78,,,,,,,,,,,,4.6,90,-4.6,left,1,1.690809434,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,4,1,77,,,,,,,,,,,,4.6,0,4.6,right,1,1.675605371,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,5,1,76,,,,,,,,,,,,4.6,90,-4.6,left,1,1.59113189,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,6,1,75,,,,,,,,,,,,-4.6,90,-4.6,left,1,1.37396729,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,7,1,74,,,,,,,,,,,,4.6,0,4.6,right,1,1.339723373,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,8,1,73,,,,,,,,,,,,4.6,90,-4.6,left,1,1.404881494,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,9,1,72,,,,,,,,,,,,4.6,90,4.6,right,1,1.475748179,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,10,1,71,,,,,,,,,,,,-4.6,0,4.6,right,1,1.573824464,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,11,1,70,,,,,,,,,,,,-4.6,0,4.6,right,1,1.742845908,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,12,1,69,,,,,,,,,,,,-4.6,0,-4.6,left,1,1.52842429,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,13,1,68,,,,,,,,,,,,-4.6,90,-4.6,left,1,1.874631128,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,14,1,67,,,,,,,,,,,,-4.6,90,4.6,right,1,1.608237731,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,15,1,66,,,,,,,,,,,,-4.6,90,4.6,right,0,2.227424777,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,16,1,67,,,,,,,,,,,,4.6,0,4.6,right,1,1.591253251,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,17,1,67,,,,,,,,,,,,-4.6,90,-4.6,left,1,1.57390676,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,18,1,67,,,,,,,,,,,,-4.6,0,-4.6,left,1,1.573643626,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,19,1,66,,,,,,,,,,,,4.6,0,4.6,right,1,1.639064758,right,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
,20,1,66,,,,,,,,,,,,4.6,0,-4.6,left,1,1.591290468,left,,,,,,,,,2,92,2019_Mar_31_1504,Flow_exo_post,3.0.5,59.59432557,
