Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,Time_pas_Ans.response,Time_pas_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
0,1,81,,,,0,0,-4.6,left,1,1.4755973840365186,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
1,1,80,,,,180,90,4.6,right,1,1.4230895730433986,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
2,1,79,,,,0,0,-4.6,left,1,1.5747605899814516,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
3,1,78,,,,180,90,4.6,right,1,1.77542291599093,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
4,1,77,,,,180,90,4.6,right,1,1.706592406029813,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
5,1,76,,,,0,90,-4.6,left,1,1.507768217008561,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
6,1,75,,,,180,90,4.6,right,1,1.6246883670100942,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
7,1,74,,,,0,90,-4.6,left,1,1.4233245559735224,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
8,1,73,,,,0,0,-4.6,left,1,1.2716322569758631,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
9,1,72,,,,0,90,4.6,right,1,1.3230793219991028,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
10,1,71,,,,0,0,4.6,right,1,1.5238767759874463,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
11,1,70,,,,0,90,-4.6,left,1,1.5567273880005814,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
12,1,69,,,,0,90,4.6,right,1,1.3749876479851082,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
13,1,68,,,,180,90,-4.6,left,1,1.5070699999923818,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
14,1,67,,,,180,90,4.6,right,1,1.5908455949975178,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
15,1,66,,,,0,0,-4.6,left,1,1.7086441960418597,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
16,1,65,,,,180,90,4.6,right,1,1.8752247000229545,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
17,1,65,,,,0,0,4.6,right,0,1.539729202981107,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
18,1,66,,,,0,90,4.6,right,1,1.5084371860139072,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
19,1,66,,,,0,0,-4.6,left,1,1.6244364410522394,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
20,1,66,,,,0,0,-4.6,left,1,1.6078145659994334,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
21,1,65,,,,180,0,-4.6,left,1,1.9416989770252258,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
22,1,65,,,,0,0,-4.6,left,1,2.7451687270076945,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
23,1,65,,,,180,90,-4.6,left,0,1.858741217001807,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
24,1,66,,,,180,90,-4.6,left,1,2.4435038489755243,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
25,1,66,,,,180,0,-4.6,left,1,1.7408055900014006,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
26,1,66,,,,0,0,4.6,right,1,2.31042576598702,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
27,1,65,,,,180,90,4.6,right,1,2.6614293100428768,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
28,1,65,,,,180,0,4.6,right,1,2.326864460017532,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
29,1,65,,,,180,0,-4.6,left,1,1.5749096719664522,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
30,1,65,,,,0,0,4.6,right,1,1.5578917679958977,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
31,1,65,,,,0,0,4.6,right,0,2.125556030019652,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
32,1,66,,,,0,90,4.6,right,1,1.7913972979877144,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
33,1,66,,,,0,90,4.6,right,1,2.0604119460331276,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
34,1,66,,,,180,0,-4.6,left,1,1.691746991011314,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
35,1,65,,,,180,0,-4.6,left,1,2.0931191419949755,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
36,1,65,,,,0,90,4.6,right,0,2.745534765010234,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
37,1,66,,,,0,90,4.6,right,0,4.367467692994978,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
38,1,67,,,,180,0,4.6,right,1,1.4900906340335496,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
39,1,67,,,,0,0,-4.6,left,1,1.6247416359838098,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
40,1,67,,,,180,90,-4.6,left,1,1.8737476019887254,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
41,1,66,,,,0,90,4.6,right,1,1.5747683580266312,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
42,1,66,,,,180,90,4.6,right,1,2.226070622971747,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
43,1,66,,,,0,0,4.6,right,1,1.6756188230356202,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
44,1,65,,,,180,0,-4.6,left,1,1.6734302469994873,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
45,1,65,,,,0,90,-4.6,left,0,1.7922535190009512,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
46,1,66,,,,180,0,-4.6,left,1,2.6615043590427376,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
47,1,66,,,,180,90,-4.6,left,0,1.7419884520350024,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
48,1,67,,,,180,90,-4.6,left,1,1.6922840190236457,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
49,1,67,,,,0,0,4.6,right,1,1.6038069750065915,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
50,1,67,,,,180,90,-4.6,left,1,2.0267473480198532,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
51,1,66,,,,180,90,-4.6,left,0,2.711734205018729,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
52,1,67,,,,180,90,4.6,right,1,1.6561388249974698,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
53,1,67,,,,0,90,4.6,right,1,1.6735739900032058,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
54,1,67,,,,0,90,4.6,right,1,1.575006426020991,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
55,1,66,,,,0,90,-4.6,left,1,2.493016625987366,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
56,1,66,,,,0,0,4.6,right,1,1.4068578999722376,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
57,1,66,,,,180,0,-4.6,left,1,1.7575524220010266,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
58,1,65,,,,180,0,-4.6,left,1,1.9414892179775052,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
59,1,65,,,,0,90,-4.6,left,0,1.5737154919770546,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
60,1,66,,,,0,90,-4.6,left,1,2.226915132952854,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
61,1,66,,,,180,90,-4.6,left,1,3.6138047970016487,left,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
62,1,66,,,,0,90,4.6,right,1,1.7251428490271792,right,,,,,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,0,1,81,,90,-4.6,left,,,,4.6,1,1.607762305997312,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,1,1,80,,90,4.6,right,,,,-4.6,1,1.4718928979709744,right,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,2,1,79,,0,4.6,right,,,,4.6,1,1.7423171080299653,right,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,3,1,78,,0,-4.6,left,,,,4.6,1,1.8409752720035613,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,4,1,77,,90,4.6,right,,,,4.6,1,1.4564391719759442,right,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,5,1,76,,90,-4.6,left,,,,-4.6,1,1.5066339900367893,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,6,1,75,,90,-4.6,left,,,,4.6,1,1.540977070981171,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,7,1,74,,90,-4.6,left,,,,4.6,1,1.4733825590228662,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,8,1,73,,0,-4.6,left,,,,-4.6,1,1.4411074020317756,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,9,1,72,,90,-4.6,left,,,,4.6,1,1.6071527230087668,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,10,1,71,,90,4.6,right,,,,-4.6,1,1.607932147977408,right,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
,,,11,1,70,,90,-4.6,left,,,,-4.6,1,2.123693176021334,left,,,002,92,2019_Mar_31_1359,Flow_endo_pre,3.0.5,59.63520808518175,
