Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;0;0;4.6;right;1;0.736094259;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
1;1;80;;;;180;0;4.6;right;1;0.648573103;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
2;1;79;;;;180;90;4.6;right;1;0.56782212;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
3;1;78;;;;0;0;-4.6;left;1;0.56892919;left;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
4;1;77;;;;0;90;-4.6;left;1;1.036048947;left;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
5;1;76;;;;180;0;4.6;right;1;0.635498119;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
6;1;75;;;;0;0;-4.6;left;1;0.650550196;left;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
7;1;74;;;;0;0;4.6;right;1;0.48431723;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
8;1;73;;;;180;0;4.6;right;1;0.686321962;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
9;1;72;;;;180;0;4.6;right;1;0.485559416;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
10;1;71;;;;180;0;-4.6;left;1;0.452478309;left;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
11;1;70;;;;0;90;4.6;right;1;0.784471906;right;;;;;;;2;153;2019_Apr_05_1406;Flow_endo_pre;3.0.6;60.09322647
