Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Monday;33.843;;;;;;;;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
0;1;81;;;;;;4.6;90;-4.6;left;1;1.391745794;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
1;1;80;;;;;;4.6;0;4.6;right;1;2.592954775;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
2;1;79;;;;;;-4.6;0;-4.6;left;1;1.007143025;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
3;1;78;;;;;;4.6;0;-4.6;left;1;0.904752235;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
4;1;77;;;;;;4.6;0;-4.6;left;1;1.071062035;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
5;1;76;;;;;;-4.6;0;4.6;right;1;1.07008585;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
6;1;75;;;;;;-4.6;90;4.6;right;1;0.953549595;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
7;1;74;;;;;;4.6;90;4.6;right;1;0.868339123;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
8;1;73;;;;;;-4.6;0;4.6;right;1;0.769783718;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
9;1;72;;;;;;4.6;90;4.6;right;1;1.007576779;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
10;1;71;;;;;;-4.6;0;4.6;right;1;0.785898819;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
11;1;70;;;;;;4.6;0;4.6;right;1;0.739363603;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
12;1;69;;;;;;4.6;0;4.6;right;1;0.988499154;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
13;1;68;;;;;;-4.6;90;4.6;right;1;2.5403311;right;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
14;1;67;;;;;;-4.6;90;-4.6;left;1;1.239608329;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
15;1;66;;;;;;4.6;90;-4.6;left;1;1.526029195;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
16;1;65;;;;;;4.6;0;4.6;right;0;1.308087424;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
17;1;66;;;;;;-4.6;0;-4.6;left;1;0.936865056;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
18;1;66;;;;;;-4.6;90;-4.6;left;1;2.226676413;left;;;;;1;3;2019_Mar_26_1803;Flow_exo_pre;3.0.5;59.53278126
