Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,0,-4.6,left,1,0.816737299,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,1,1,80,,,,,,,,,,,,0,90,4.6,right,1,0.533990701,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,2,1,79,,,,,,,,,,,,180,0,4.6,right,1,0.583844801,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,3,1,78,,,,,,,,,,,,0,90,4.6,right,1,0.600469956,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,4,1,77,,,,,,,,,,,,0,90,4.6,right,1,0.517336885,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,5,1,76,,,,,,,,,,,,180,0,-4.6,left,1,0.467443843,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,6,1,75,,,,,,,,,,,,0,0,4.6,right,1,0.500709767,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,7,1,74,,,,,,,,,,,,180,0,4.6,right,1,0.450667117,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,8,1,73,,,,,,,,,,,,0,90,4.6,right,1,0.467475807,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,9,1,72,,,,,,,,,,,,180,90,4.6,right,1,0.434249735,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,10,1,71,,,,,,,,,,,,180,90,4.6,right,1,0.484055062,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,11,1,70,,,,,,,,,,,,0,90,4.6,right,1,0.517134538,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,12,1,69,,,,,,,,,,,,180,0,-4.6,left,1,0.565970233,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,13,1,68,,,,,,,,,,,,0,0,-4.6,left,1,0.68363735,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,14,1,67,,,,,,,,,,,,180,0,-4.6,left,1,0.517057651,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,15,1,66,,,,,,,,,,,,0,90,-4.6,left,1,0.550635068,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,16,1,65,,,,,,,,,,,,180,90,4.6,right,0,0.949310944,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,17,1,66,,,,,,,,,,,,180,90,-4.6,left,1,0.633793621,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,18,1,66,,,,,,,,,,,,0,90,-4.6,left,1,0.500724018,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,19,1,66,,,,,,,,,,,,0,0,4.6,right,1,1.148933062,right,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,20,1,65,,,,,,,,,,,,0,0,-4.6,left,1,0.532702559,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,21,1,65,,,,,,,,,,,,0,0,-4.6,left,1,0.700229136,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,22,1,65,,,,,,,,,,,,180,0,-4.6,left,1,0.666972675,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,23,1,65,,,,,,,,,,,,0,90,-4.6,left,1,1.11560212,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,24,1,65,,,,,,,,,,,,0,0,4.6,right,0,0.500545192,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
,25,1,66,,,,,,,,,,,,180,0,4.6,right,0,0.565929062,left,,,,,,,,,3,24,2016_Jan_09_1856,Flow_endo_post,3.0.5,60.11470198,
