Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,0,4.6,right,1,0.934334124,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,1,1,80,,,,,,,,,,,,-4.6,90,4.6,right,1,0.467740152,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,2,1,79,,,,,,,,,,,,-4.6,0,4.6,right,1,0.533650392,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,3,1,78,,,,,,,,,,,,4.6,90,-4.6,left,1,0.617718189,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,4,1,77,,,,,,,,,,,,-4.6,0,4.6,right,1,0.60101566,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,5,1,76,,,,,,,,,,,,-4.6,0,4.6,right,1,0.517716831,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,6,1,75,,,,,,,,,,,,4.6,0,-4.6,left,1,0.55131195,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,7,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.450998351,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,8,1,73,,,,,,,,,,,,4.6,0,-4.6,left,1,0.484297227,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,9,1,72,,,,,,,,,,,,-4.6,90,4.6,right,1,0.63441587,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,10,1,71,,,,,,,,,,,,4.6,90,4.6,right,1,0.467721728,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,11,1,70,,,,,,,,,,,,-4.6,90,4.6,right,1,0.584910948,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,12,1,69,,,,,,,,,,,,4.6,90,4.6,right,1,0.784254755,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,13,1,68,,,,,,,,,,,,4.6,0,-4.6,left,1,0.651688095,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,14,1,67,,,,,,,,,,,,-4.6,90,4.6,right,1,0.717876637,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,15,1,66,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.517903983,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,16,1,65,,,,,,,,,,,,-4.6,90,-4.6,left,0,0.768243619,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,17,1,66,,,,,,,,,,,,4.6,0,4.6,right,1,0.335050827,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,18,1,66,,,,,,,,,,,,-4.6,0,-4.6,left,1,1.000954181,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,19,1,66,,,,,,,,,,,,4.6,90,-4.6,left,0,0.483024986,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,20,1,67,,,,,,,,,,,,4.6,90,-4.6,left,1,0.567718237,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,21,1,67,,,,,,,,,,,,4.6,0,-4.6,left,0,0.400299733,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,22,1,68,,,,,,,,,,,,-4.6,0,4.6,right,0,0.584558463,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,23,1,69,,,,,,,,,,,,4.6,0,4.6,right,1,0.834455918,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,24,1,69,,,,,,,,,,,,4.6,0,-4.6,left,1,0.599653722,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,25,1,69,,,,,,,,,,,,4.6,0,4.6,right,1,0.385104111,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,26,1,68,,,,,,,,,,,,4.6,0,4.6,right,1,0.501074423,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,27,1,68,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.400700702,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,28,1,68,,,,,,,,,,,,4.6,0,4.6,right,1,0.384370536,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,29,1,67,,,,,,,,,,,,4.6,0,4.6,right,1,0.417703353,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,30,1,67,,,,,,,,,,,,4.6,90,4.6,right,1,0.634386294,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,31,1,67,,,,,,,,,,,,-4.6,0,4.6,right,0,0.50145115,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,32,1,68,,,,,,,,,,,,4.6,90,-4.6,left,1,0.667618262,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,33,1,68,,,,,,,,,,,,4.6,0,-4.6,left,0,0.584791675,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,34,1,69,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.4844485,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,35,1,69,,,,,,,,,,,,4.6,90,4.6,right,1,0.433706246,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,36,1,69,,,,,,,,,,,,-4.6,0,4.6,right,1,0.551513162,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,37,1,68,,,,,,,,,,,,4.6,0,4.6,right,1,0.483853107,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,38,1,68,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.401728095,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,39,1,68,,,,,,,,,,,,4.6,90,4.6,right,1,0.400327369,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,40,1,67,,,,,,,,,,,,4.6,90,-4.6,left,1,0.983689228,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,41,1,67,,,,,,,,,,,,-4.6,90,4.6,right,0,0.60174778,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,42,1,68,,,,,,,,,,,,4.6,90,4.6,right,1,0.417580201,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,43,1,68,,,,,,,,,,,,4.6,90,-4.6,left,0,0.4843365,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,44,1,69,,,,,,,,,,,,-4.6,90,4.6,right,0,0.434151821,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,45,1,70,,,,,,,,,,,,-4.6,90,4.6,right,0,0.517708589,left,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,46,1,71,,,,,,,,,,,,4.6,90,4.6,right,1,0.383711143,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
,47,1,71,,,,,,,,,,,,4.6,90,-4.6,left,0,0.784398755,right,,,,,,,,,3,235,2019_Apr_10_1727,Flow_exo_post,3.0.5,60.00564416,
