Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Monday;9.504;;;;;;;;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
0;1;81;;;;;;4.6;0;-4.6;left;1;0.417610783;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
1;1;80;;;;;;4.6;0;4.6;right;1;0.552696162;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
2;1;79;;;;;;-4.6;90;-4.6;left;1;0.417683182;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
3;1;78;;;;;;-4.6;90;4.6;right;0;0.302142989;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
4;1;79;;;;;;-4.6;90;-4.6;left;1;0.469455706;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
5;1;79;;;;;;-4.6;0;4.6;right;1;0.352171428;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
6;1;79;;;;;;4.6;0;-4.6;left;1;0.468419595;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
7;1;78;;;;;;-4.6;90;-4.6;left;1;0.352800113;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
8;1;78;;;;;;-4.6;0;-4.6;left;1;0.285789191;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
9;1;78;;;;;;4.6;0;-4.6;left;1;0.385117721;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
10;1;77;;;;;;4.6;90;-4.6;left;1;0.402085969;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
11;1;77;;;;;;4.6;0;4.6;right;1;0.451101513;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
12;1;77;;;;;;-4.6;90;-4.6;left;1;0.268570845;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
13;1;76;;;;;;-4.6;0;4.6;right;1;0.301373366;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
14;1;76;;;;;;-4.6;0;-4.6;left;1;0.251482938;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
15;1;76;;;;;;4.6;0;4.6;right;1;0.231408362;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
16;1;75;;;;;;-4.6;90;4.6;right;1;0.385054775;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
17;1;75;;;;;;4.6;0;4.6;right;1;0.268940648;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
18;1;75;;;;;;-4.6;90;-4.6;left;1;0.368544812;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
19;1;74;;;;;;-4.6;0;-4.6;left;1;0.351958389;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
20;1;74;;;;;;4.6;90;4.6;right;1;0.318506387;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
21;1;74;;;;;;4.6;90;4.6;right;1;0.31795699;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
22;1;73;;;;;;-4.6;0;4.6;right;1;0.402493082;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
23;1;73;;;;;;4.6;90;4.6;right;1;0.285611649;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
24;1;73;;;;;;-4.6;90;4.6;right;1;0.518092595;right;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
25;1;72;;;;;;-4.6;0;-4.6;left;1;0.351649645;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
26;1;72;;;;;;4.6;0;-4.6;left;1;0.485510763;left;;;;;3;53;2019_Apr_01_1430;Flow_exo_pre;3.0.6;59.94286294
