Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.721959777,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,1,1,80,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.320387085,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,2,1,79,,,,,,,,,,,,-4.6,0,4.6,right,1,0.622454518,right,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,3,1,78,,,,,,,,,,,,4.6,90,4.6,right,1,0.516899571,right,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,4,1,77,,,,,,,,,,,,4.6,90,-4.6,left,1,0.505719633,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,5,1,76,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.536927585,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,6,1,75,,,,,,,,,,,,4.6,0,-4.6,left,1,0.523617094,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,7,1,74,,,,,,,,,,,,4.6,90,-4.6,left,1,0.570619303,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,8,1,73,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.588387988,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,9,1,72,,,,,,,,,,,,4.6,90,-4.6,left,0,0.46668868,right,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,10,1,73,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.617917485,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,11,1,73,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.519821057,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,12,1,73,,,,,,,,,,,,4.6,90,4.6,right,1,0.520379036,right,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,13,1,72,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.488448577,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,14,1,72,,,,,,,,,,,,-4.6,90,4.6,right,1,0.504655536,right,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,15,1,72,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.553272636,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,16,1,71,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.503948438,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,17,1,71,,,,,,,,,,,,4.6,90,4.6,right,1,0.503154832,right,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,18,1,71,,,,,,,,,,,,4.6,0,-4.6,left,1,0.521758072,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,19,1,70,,,,,,,,,,,,-4.6,90,4.6,right,1,0.670495465,right,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,20,1,70,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.517418915,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
,21,1,70,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.568244004,left,,,,,,,,,3,262,2019_Apr_10_1424,Flow_exo_post,3.0.5,59.79110708,
