Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Friday;776.607;;;;;;;;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
0;1;81;;;;;;4.6;90;4.6;right;1;0.670614745;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
1;1;80;;;;;;4.6;90;-4.6;left;1;0.835217645;left;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
2;1;79;;;;;;4.6;90;4.6;right;1;0.535538035;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
3;1;78;;;;;;-4.6;90;4.6;right;1;1.500564767;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
4;1;77;;;;;;-4.6;0;4.6;right;1;1.116950323;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
5;1;76;;;;;;4.6;0;-4.6;left;1;0.901946222;left;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
6;1;75;;;;;;4.6;0;-4.6;left;1;0.734061586;left;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
7;1;74;;;;;;-4.6;0;4.6;right;1;0.884174173;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
8;1;73;;;;;;-4.6;0;-4.6;left;1;0.636519492;left;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
9;1;72;;;;;;4.6;0;4.6;right;1;0.602691521;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
10;1;71;;;;;;4.6;90;-4.6;left;0;1.819934839;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
11;1;72;;;;;;-4.6;0;4.6;right;1;0.803042917;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
12;1;72;;;;;;4.6;90;4.6;right;1;0.869994104;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
13;1;72;;;;;;4.6;90;4.6;right;1;0.700769229;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
14;1;71;;;;;;-4.6;0;-4.6;left;1;0.752626748;left;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
15;1;71;;;;;;4.6;0;-4.6;left;1;1.203205507;left;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
16;1;71;;;;;;-4.6;90;-4.6;left;1;1.953461908;left;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
17;1;70;;;;;;-4.6;0;4.6;right;1;0.85275393;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
18;1;70;;;;;;4.6;90;4.6;right;1;0.652847248;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
19;1;70;;;;;;4.6;90;4.6;right;1;0.617067626;right;;;;;2;204;2019_Apr_05_1401;Flow_exo_pre;3.0.5;59.97407597
