Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.438955674,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,1,1,80,,,,,,,,,,,,4.6,90,-4.6,left,1,0.520139699,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,2,1,79,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.487045535,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,3,1,78,,,,,,,,,,,,4.6,90,4.6,right,1,0.568092645,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,4,1,77,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.485662455,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,5,1,76,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.520769469,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,6,1,75,,,,,,,,,,,,4.6,90,4.6,right,1,0.605328538,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,7,1,74,,,,,,,,,,,,4.6,90,-4.6,left,1,0.502957135,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,8,1,73,,,,,,,,,,,,4.6,0,4.6,right,1,0.532976866,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,9,1,72,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.534195446,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,10,1,71,,,,,,,,,,,,4.6,0,4.6,right,1,0.502376802,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,11,1,70,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.532051018,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,12,1,69,,,,,,,,,,,,-4.6,90,4.6,right,0,0.484682827,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,13,1,70,,,,,,,,,,,,-4.6,0,4.6,right,0,0.432667947,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,14,1,71,,,,,,,,,,,,4.6,90,-4.6,left,0,0.4372118,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,15,1,72,,,,,,,,,,,,4.6,0,-4.6,left,1,0.522649445,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,16,1,72,,,,,,,,,,,,4.6,90,-4.6,left,1,0.573002437,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,17,1,72,,,,,,,,,,,,4.6,90,-4.6,left,0,0.836166712,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,18,1,73,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.402811273,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,19,1,73,,,,,,,,,,,,4.6,90,4.6,right,0,0.5874698,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,20,1,74,,,,,,,,,,,,4.6,0,4.6,right,1,0.455824471,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,21,1,74,,,,,,,,,,,,4.6,0,-4.6,left,1,0.470157396,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,22,1,74,,,,,,,,,,,,-4.6,0,4.6,right,0,0.475365059,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,23,1,75,,,,,,,,,,,,-4.6,0,4.6,right,0,0.520720325,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,24,1,76,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.605808895,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,25,1,76,,,,,,,,,,,,-4.6,0,4.6,right,1,0.605837617,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,26,1,76,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.453835388,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,27,1,75,,,,,,,,,,,,-4.6,90,4.6,right,1,0.588418124,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,28,1,75,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.390321527,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,29,1,75,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.486757827,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,30,1,74,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.719463517,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,31,1,74,,,,,,,,,,,,4.6,90,-4.6,left,0,0.422520982,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,32,1,75,,,,,,,,,,,,-4.6,0,4.6,right,1,0.708368488,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,33,1,75,,,,,,,,,,,,-4.6,0,4.6,right,1,0.615778359,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,34,1,75,,,,,,,,,,,,4.6,0,-4.6,left,1,0.61729198,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,35,1,74,,,,,,,,,,,,4.6,90,-4.6,left,0,0.448639985,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,36,1,75,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.467577657,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,37,1,75,,,,,,,,,,,,4.6,0,-4.6,left,0,0.318508687,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,38,1,76,,,,,,,,,,,,4.6,0,4.6,right,1,0.483534386,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,39,1,76,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.467695526,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,40,1,76,,,,,,,,,,,,-4.6,90,4.6,right,1,0.50519462,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,41,1,75,,,,,,,,,,,,4.6,0,4.6,right,1,0.487494815,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,42,1,75,,,,,,,,,,,,4.6,90,-4.6,left,1,0.587519076,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,43,1,75,,,,,,,,,,,,4.6,90,4.6,right,1,0.48782429,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,44,1,74,,,,,,,,,,,,-4.6,0,4.6,right,1,0.486890772,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,45,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.521524306,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,46,1,74,,,,,,,,,,,,-4.6,0,4.6,right,1,0.551522958,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,47,1,73,,,,,,,,,,,,4.6,90,-4.6,left,0,0.960279778,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,48,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,1.311476691,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,49,1,74,,,,,,,,,,,,-4.6,0,4.6,right,1,0.587917511,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,50,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,0.603318497,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,51,1,73,,,,,,,,,,,,4.6,0,-4.6,left,0,1.87758975,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,52,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.52174891,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,53,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.492028486,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,54,1,74,,,,,,,,,,,,-4.6,0,4.6,right,1,0.586673272,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,55,1,73,,,,,,,,,,,,4.6,0,4.6,right,1,1.237659113,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,56,1,73,,,,,,,,,,,,4.6,0,-4.6,left,0,1.101270126,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,57,1,74,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.234008735,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,58,1,74,,,,,,,,,,,,4.6,0,-4.6,left,1,0.671493248,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,59,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.503461156,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,60,1,73,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.587611068,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,61,1,73,,,,,,,,,,,,4.6,0,4.6,right,1,0.504731193,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,62,1,73,,,,,,,,,,,,4.6,90,-4.6,left,1,0.635024647,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,63,1,72,,,,,,,,,,,,4.6,90,4.6,right,1,0.539416081,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,64,1,72,,,,,,,,,,,,-4.6,90,4.6,right,1,0.688220428,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,65,1,72,,,,,,,,,,,,-4.6,0,4.6,right,0,0.485696294,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,66,1,73,,,,,,,,,,,,4.6,0,-4.6,left,1,0.606691514,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,67,1,73,,,,,,,,,,,,4.6,0,-4.6,left,0,0.388379165,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,68,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.437493595,right,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,69,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.503821068,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,70,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.49129132,left,,,,,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,0,1,81,,,,,,,,,,0,-4.6,left,,,,0,1,0.587968843,left,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,1,1,80,,,,,,,,,,0,4.6,right,,,,0,1,0.537727954,right,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,2,1,79,,,,,,,,,,90,4.6,right,,,,180,1,0.575807774,right,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,3,1,78,,,,,,,,,,0,4.6,right,,,,180,0,0.503676813,left,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,4,1,79,,,,,,,,,,0,4.6,right,,,,180,1,0.623116736,right,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,5,1,79,,,,,,,,,,0,-4.6,left,,,,0,1,0.523041861,left,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,6,1,79,,,,,,,,,,0,-4.6,left,,,,0,1,0.522764493,left,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,7,1,78,,,,,,,,,,90,4.6,right,,,,180,1,0.588170184,right,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,8,1,78,,,,,,,,,,90,4.6,right,,,,180,1,0.604767679,right,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,9,1,78,,,,,,,,,,0,-4.6,left,,,,180,1,0.619341697,left,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,10,1,77,,,,,,,,,,0,4.6,right,,,,0,1,0.606153639,right,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
,,,,11,1,77,,,,,,,,,,90,-4.6,left,,,,180,1,0.50221387,left,,,,,3,62,2019_Apr_01_1608,Flow_exo_post,3.0.5,59.55368173,
