Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,90,-4.6,left,1,0.650192096,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,1,1,80,,,,,,,,,,,,180,0,-4.6,left,1,0.550118991,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,2,1,79,,,,,,,,,,,,0,0,4.6,right,1,0.550418523,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,3,1,78,,,,,,,,,,,,180,0,4.6,right,1,0.833332963,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,4,1,77,,,,,,,,,,,,0,0,-4.6,left,1,0.483703268,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,5,1,76,,,,,,,,,,,,0,0,-4.6,left,1,0.483759263,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,6,1,75,,,,,,,,,,,,180,0,-4.6,left,1,0.516861577,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,7,1,74,,,,,,,,,,,,0,0,-4.6,left,1,0.433564501,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,8,1,73,,,,,,,,,,,,180,90,4.6,right,1,0.800418634,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,9,1,72,,,,,,,,,,,,0,0,4.6,right,1,0.66722766,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,10,1,71,,,,,,,,,,,,0,90,-4.6,left,1,0.633110314,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,11,1,70,,,,,,,,,,,,180,0,-4.6,left,1,1.250296088,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,12,1,69,,,,,,,,,,,,180,90,-4.6,left,1,0.533774484,left,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,13,1,68,,,,,,,,,,,,0,90,4.6,right,1,0.999861789,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,14,1,67,,,,,,,,,,,,0,0,4.6,right,1,0.767158554,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,15,1,66,,,,,,,,,,,,0,0,-4.6,left,0,0.799888453,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,16,1,67,,,,,,,,,,,,0,90,4.6,right,1,0.600579955,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,17,1,67,,,,,,,,,,,,180,90,4.6,right,1,0.900015777,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,18,1,67,,,,,,,,,,,,0,90,4.6,right,1,0.766742587,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
,19,1,66,,,,,,,,,,,,180,0,-4.6,left,0,1.016810693,right,,,,,,,,,2,20,2019_Apr_05_1617,Flow_endo_post,3.0.5,60.02403442,
