Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
81;1;71;;;;;;-4.6;0;4.6;right;1;1.074191601;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
82;1;70;;;;;;-4.6;90;-4.6;left;1;0.755165076;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
83;1;70;;;;;;4.6;0;-4.6;left;1;1.086968779;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
84;1;70;;;;;;4.6;90;-4.6;left;1;0.905478771;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
85;1;69;;;;;;-4.6;90;-4.6;left;1;0.838866922;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
86;1;69;;;;;;4.6;0;4.6;right;0;0.937919587;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
87;1;70;;;;;;4.6;0;4.6;right;1;0.772248679;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
88;1;70;;;;;;-4.6;0;-4.6;left;1;0.682344187;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
89;1;70;;;;;;4.6;0;4.6;right;1;0.604369279;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
90;1;69;;;;;;-4.6;0;-4.6;left;1;0.671455769;left;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
91;1;69;;;;;;4.6;90;-4.6;left;0;1.172229638;right;;;;;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;0;1;81;;;;0;4.6;right;;;;180;1;1.034790413;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;1;1;80;;;;0;4.6;right;;;;180;1;0.887001809;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;2;1;79;;;;0;-4.6;left;;;;0;1;0.8074374;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;3;1;78;;;;0;4.6;right;;;;180;1;0.774151283;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;4;1;77;;;;0;-4.6;left;;;;180;1;0.820709514;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;5;1;76;;;;0;-4.6;left;;;;0;1;0.88382266;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;6;1;75;;;;0;-4.6;left;;;;180;1;0.819376576;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;7;1;74;;;;0;4.6;right;;;;180;1;1.019775723;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;8;1;73;;;;0;-4.6;left;;;;180;1;0.857211059;left;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
;;;9;1;72;;;;90;4.6;right;;;;0;1;1.052166461;right;1;72;2019_Mar_27_1328;Flow_exo_pre;3.0.5;59.62391808
