Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;0;0;-4.6;left;1;0.970465621;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
1;1;80;;;;180;90;-4.6;left;1;0.983945866;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
2;1;79;;;;180;0;4.6;right;1;0.602513694;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
3;1;78;;;;180;90;4.6;right;1;0.9700168;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
4;1;77;;;;180;90;4.6;right;1;0.78650818;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
5;1;76;;;;180;90;-4.6;left;1;0.669779802;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
6;1;75;;;;0;90;-4.6;left;1;0.601988427;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
7;1;74;;;;180;90;4.6;right;1;0.733916237;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
8;1;73;;;;0;90;4.6;right;1;0.852905943;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
9;1;72;;;;0;0;-4.6;left;1;0.653469031;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
10;1;71;;;;0;90;-4.6;left;1;1.035557058;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
11;1;70;;;;180;0;-4.6;left;1;0.652167094;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
12;1;69;;;;0;90;-4.6;left;1;1.686885704;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
13;1;68;;;;0;90;-4.6;left;1;1.433817785;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
14;1;67;;;;180;90;-4.6;left;1;1.436372689;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
15;1;66;;;;0;0;-4.6;left;0;1.135301814;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
16;1;67;;;;180;0;-4.6;left;1;0.869522052;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
17;1;67;;;;0;90;4.6;right;1;1.753144221;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
18;1;67;;;;0;90;4.6;right;1;1.069296429;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
19;1;66;;;;0;0;4.6;right;0;1.353314882;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
20;1;67;;;;180;0;-4.6;left;1;1.167351225;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
21;1;67;;;;0;0;4.6;right;0;2.23623898;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
22;1;68;;;;0;0;4.6;right;1;0.702981591;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
23;1;68;;;;0;90;4.6;right;1;1.152962432;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
24;1;68;;;;0;90;4.6;right;0;0.967448375;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
25;1;69;;;;180;90;-4.6;left;0;1.717264773;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
26;1;70;;;;0;90;4.6;right;0;2.303205846;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
27;1;71;;;;180;0;-4.6;left;1;0.81734875;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
28;1;71;;;;0;90;-4.6;left;1;1.300387602;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
29;1;71;;;;0;0;-4.6;left;1;1.003028461;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
30;1;70;;;;180;90;-4.6;left;1;1.267222788;left;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
31;1;70;;;;180;0;4.6;right;1;1.099177375;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
32;1;70;;;;0;0;4.6;right;1;0.752792267;right;;;;;;;3;84;2019_Apr_01_1321;Flow_endo_pre;3.0.5;59.91006828
