Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,Time_pas_Ans.response,Time_pas_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
0,1,81,,,,180,90,4.6,right,1,0.9998022410312615,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
1,1,80,,,,0,0,-4.6,left,1,0.6336877292559393,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
2,1,79,,,,0,0,4.6,right,0,7.649517779197936,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
3,1,80,,,,180,90,-4.6,left,1,24.946031799642128,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
4,1,80,,,,0,0,4.6,right,1,0.6502123798003367,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
5,1,80,,,,180,0,-4.6,left,1,0.5835644965322899,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
6,1,79,,,,180,0,4.6,right,1,0.6833754478462879,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
7,1,79,,,,0,90,4.6,right,1,0.5007061550591061,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
8,1,79,,,,180,90,4.6,right,1,0.6007299750157244,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
9,1,78,,,,180,0,4.6,right,1,0.7838756669365239,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
10,1,78,,,,0,0,-4.6,left,1,0.5165695351641943,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
11,1,78,,,,0,0,-4.6,left,1,0.4508153446738561,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
12,1,77,,,,0,90,-4.6,left,1,0.7338155393221086,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
13,1,77,,,,0,0,4.6,right,1,0.5667927583776873,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
14,1,77,,,,180,90,-4.6,left,1,1.8826978234070566,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
15,1,76,,,,0,0,-4.6,left,1,0.5837924748491332,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
16,1,76,,,,0,90,4.6,right,1,0.6166537938169085,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
17,1,76,,,,180,90,-4.6,left,1,0.5334590398957744,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
18,1,75,,,,0,0,4.6,right,1,0.6335615190378121,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
19,1,75,,,,180,0,-4.6,left,1,0.6169213239273859,left,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
20,1,75,,,,180,90,4.6,right,1,1.033116850219585,right,,,,,,,003,16,2019_Apr_10_1417,Flow_endo_pre,3.0.5,59.87159429544025,
