Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Friday;20.025;;;;;;;;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
0;1;81;;;;;;4.6;0;4.6;right;1;2.160666671;right;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
1;1;80;;;;;;-4.6;90;-4.6;left;1;2.360880842;left;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
2;1;79;;;;;;4.6;90;-4.6;left;1;2.660949076;left;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
3;1;78;;;;;;-4.6;0;4.6;right;1;2.664003631;right;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
4;1;77;;;;;;-4.6;0;4.6;right;1;2.293411196;right;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
5;1;76;;;;;;-4.6;0;-4.6;left;1;2.243730954;left;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
6;1;75;;;;;;4.6;90;4.6;right;1;2.327402289;right;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
7;1;74;;;;;;-4.6;0;-4.6;left;1;2.109304853;left;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
8;1;73;;;;;;4.6;0;-4.6;left;1;1.826227055;left;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
9;1;72;;;;;;4.6;0;-4.6;left;1;1.842687868;left;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
10;1;71;;;;;;-4.6;0;4.6;right;1;1.810467338;right;;;;;2;242;2019_Apr_05_1548;Flow_exo_pre;3.0.5;59.18897326
