Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Monday;45.876;;;;;;;;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
0;1;81;;;;;;4.6;0;4.6;right;1;0.255024695;right;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
1;1;80;;;;;;-4.6;90;-4.6;left;1;0.704518681;left;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
2;1;79;;;;;;-4.6;0;4.6;right;1;0.640527847;right;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
3;1;78;;;;;;-4.6;90;4.6;right;1;0.669708042;right;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
4;1;77;;;;;;4.6;90;4.6;right;1;0.687885846;right;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
5;1;76;;;;;;4.6;90;4.6;right;1;0.675142789;right;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
6;1;75;;;;;;-4.6;90;4.6;right;1;0.702552932;right;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
7;1;74;;;;;;4.6;0;-4.6;left;1;0.685656376;left;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
8;1;73;;;;;;4.6;0;4.6;right;1;0.718701987;right;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
9;1;72;;;;;;4.6;0;-4.6;left;1;0.638520534;left;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
10;1;71;;;;;;4.6;0;-4.6;left;1;0.618626008;left;;;;;2;62;2019_Mar_29_1309;Flow_exo_pre;3.0.5;59.67293967
