Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,180,90,4.6,right,1,0.385229961,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,1,1,80,,,,,,,,,,,,0,0,-4.6,left,1,0.350598611,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,2,1,79,,,,,,,,,,,,0,90,-4.6,left,1,0.369027747,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,3,1,78,,,,,,,,,,,,0,0,-4.6,left,1,0.485744822,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,4,1,77,,,,,,,,,,,,180,90,4.6,right,1,0.367063241,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,5,1,76,,,,,,,,,,,,180,0,4.6,right,1,0.503644001,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,6,1,75,,,,,,,,,,,,0,0,-4.6,left,1,0.335492532,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,7,1,74,,,,,,,,,,,,180,0,4.6,right,1,0.452384045,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,8,1,73,,,,,,,,,,,,180,0,-4.6,left,1,0.352812749,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,9,1,72,,,,,,,,,,,,0,0,-4.6,left,1,0.351394623,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,10,1,71,,,,,,,,,,,,0,0,4.6,right,1,0.335373982,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,11,1,70,,,,,,,,,,,,180,0,4.6,right,1,0.435472273,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,12,1,69,,,,,,,,,,,,0,0,4.6,right,1,0.351865215,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,13,1,68,,,,,,,,,,,,180,90,4.6,right,1,0.48563671,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,14,1,67,,,,,,,,,,,,180,90,-4.6,left,1,0.30241721,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,15,1,66,,,,,,,,,,,,0,0,4.6,right,0,0.451873091,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,16,1,67,,,,,,,,,,,,0,90,4.6,right,0,0.601971705,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,17,1,68,,,,,,,,,,,,0,90,-4.6,left,1,0.402047122,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,18,1,68,,,,,,,,,,,,0,0,-4.6,left,1,0.335582799,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,19,1,68,,,,,,,,,,,,180,0,4.6,right,1,0.718973691,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,20,1,67,,,,,,,,,,,,0,90,-4.6,left,1,0.418907398,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,21,1,67,,,,,,,,,,,,0,0,4.6,right,1,0.568875992,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,22,1,67,,,,,,,,,,,,0,0,4.6,right,0,0.469281107,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,23,1,68,,,,,,,,,,,,0,90,-4.6,left,0,1.335793151,right,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,24,1,69,,,,,,,,,,,,0,0,-4.6,left,1,0.451753967,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,25,1,69,,,,,,,,,,,,180,90,-4.6,left,1,0.45217348,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,26,1,69,,,,,,,,,,,,180,90,4.6,right,0,1.18302215,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,27,1,70,,,,,,,,,,,,0,90,-4.6,left,1,0.385083732,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,28,1,70,,,,,,,,,,,,0,0,-4.6,left,1,0.417680493,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
,29,1,70,,,,,,,,,,,,0,0,-4.6,left,1,0.385484371,left,,,,,,,,,2,7,2019_Mar_29_1533,Flow_endo_post,3.0.6,60.02257677,
