Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;0;0;-4.6;left;0;1.016772166;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
1;1;82;;;;180;0;4.6;right;0;0.400363184;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
2;1;83;;;;0;90;4.6;right;1;0.267126706;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
3;1;82;;;;180;90;-4.6;left;1;0.250653638;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
4;1;82;;;;180;90;4.6;right;1;1.350420449;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
5;1;82;;;;0;0;4.6;right;1;0.333843385;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
6;1;81;;;;0;90;-4.6;left;0;0.300389272;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
7;1;82;;;;0;0;4.6;right;1;0.250453647;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
8;1;82;;;;180;0;-4.6;left;1;0.300228835;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
9;1;82;;;;0;0;4.6;right;1;0.267238701;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
10;1;81;;;;0;0;4.6;right;0;0.267103596;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
11;1;82;;;;180;0;-4.6;left;0;1.098772631;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
12;1;83;;;;0;90;-4.6;left;1;1.098725522;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
13;1;83;;;;180;90;4.6;right;1;1.098710856;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
14;1;83;;;;0;0;4.6;right;0;1.098744187;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
15;1;84;;;;0;90;4.6;right;1;1.099145948;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
16;1;84;;;;0;90;-4.6;left;0;1.098901514;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
17;1;85;;;;180;0;4.6;right;1;1.099338828;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
18;1;85;;;;180;90;4.6;right;0;1.098452644;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
19;1;86;;;;0;90;4.6;right;0;1.098984177;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
20;1;87;;;;180;90;-4.6;left;0;1.098911736;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
21;1;88;;;;0;90;4.6;right;0;1.099193057;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
22;1;89;;;;0;90;4.6;right;1;1.098926846;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
23;1;89;;;;0;0;4.6;right;1;1.098521086;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
24;1;89;;;;0;90;-4.6;left;0;1.09941127;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
25;1;90;;;;0;90;-4.6;left;0;1.098398869;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
26;1;91;;;;0;90;-4.6;left;0;1.099205945;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
27;1;92;;;;0;0;-4.6;left;0;1.098236654;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
28;1;93;;;;180;0;-4.6;left;0;1.098923291;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
29;1;94;;;;0;0;-4.6;left;1;1.098894848;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
30;1;94;;;;180;0;4.6;right;1;1.098473977;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
31;1;94;;;;180;90;-4.6;left;1;1.098956623;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
32;1;93;;;;0;90;-4.6;left;1;1.099178835;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
33;1;93;;;;180;0;-4.6;left;0;1.098075772;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
34;1;94;;;;0;0;-4.6;left;1;1.09873041;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
35;1;94;;;;180;90;-4.6;left;0;1.099414381;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
36;1;95;;;;0;90;4.6;right;0;1.098346427;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
37;1;96;;;;0;90;4.6;right;1;1.099721479;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
38;1;96;;;;180;0;4.6;right;1;1.098365982;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
39;1;96;;;;0;90;4.6;right;0;1.098825962;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
40;1;97;;;;0;90;4.6;right;1;0.350374673;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
41;1;97;;;;180;90;-4.6;left;1;0.266996934;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
42;1;97;;;;0;90;4.6;right;1;0.249514132;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
43;1;96;;;;180;90;4.6;right;0;0.233060175;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
44;1;97;;;;0;90;4.6;right;1;0.316921004;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
45;1;97;;;;0;0;4.6;right;1;0.233592596;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
46;1;97;;;;180;0;-4.6;left;1;0.250295876;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
47;1;96;;;;0;90;-4.6;left;0;0.31652991;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
48;1;97;;;;0;90;-4.6;left;0;0.333920271;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
49;1;98;;;;0;90;4.6;right;1;0.400387628;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
50;1;98;;;;180;90;-4.6;left;1;0.282974912;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
51;1;98;;;;180;90;-4.6;left;0;0.183577864;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
52;1;99;;;;0;0;-4.6;left;0;0.233409049;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
53;1;100;;;;0;90;-4.6;left;0;0.266937825;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
54;1;101;;;;180;0;-4.6;left;1;0.349532487;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
55;1;101;;;;0;90;4.6;right;1;0.233678815;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
56;1;101;;;;0;0;-4.6;left;0;0.233416159;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
57;1;102;;;;180;90;-4.6;left;1;0.266878272;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
58;1;102;;;;0;90;4.6;right;1;0.200194925;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
59;1;102;;;;180;90;-4.6;left;1;0.233421492;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
60;1;101;;;;180;90;4.6;right;0;0.367003734;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
61;1;102;;;;0;90;-4.6;left;0;0.266874273;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
62;1;103;;;;180;0;-4.6;left;1;0.233223723;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
63;1;103;;;;180;0;-4.6;left;1;0.266783165;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
64;1;103;;;;0;0;-4.6;left;0;0.333185192;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
65;1;104;;;;180;0;-4.6;left;1;0.233514822;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
66;1;104;;;;0;90;-4.6;left;0;0.500453092;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
67;1;105;;;;180;0;-4.6;left;1;0.283582441;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
68;1;105;;;;180;0;-4.6;left;1;0.500170882;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
69;1;105;;;;180;0;4.6;right;0;0.33332563;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
70;1;106;;;;180;0;-4.6;left;1;0.383070152;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
71;1;106;;;;0;90;-4.6;left;0;0.26739425;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
72;1;107;;;;180;0;-4.6;left;1;0.283625995;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
73;1;107;;;;0;0;-4.6;left;0;0.334121151;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
74;1;108;;;;180;90;-4.6;left;1;0.283893983;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
75;1;108;;;;180;90;-4.6;left;1;0.450994779;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
76;1;108;;;;180;0;-4.6;left;1;0.283005577;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
77;1;107;;;;0;90;-4.6;left;1;0.683307431;left;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
78;1;107;;;;0;90;4.6;right;1;0.267027599;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
79;1;107;;;;0;90;-4.6;left;0;0.866317319;right;;;;;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
;;;0;1;81;;90;-4.6;left;;;;4.6;0;0.86698929;right;;;1;26;2019_Apr_03_1601;Flow_endo_pre;3.0.5;60.07932799
