Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,180,0,-4.6,left,1,0.887411325,left,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,1,1,80,,,,,,,,,,,,180,90,4.6,right,1,0.77061937,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,2,1,79,,,,,,,,,,,,0,90,4.6,right,1,0.853145735,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,3,1,78,,,,,,,,,,,,0,90,-4.6,left,0,1.283609821,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,4,1,79,,,,,,,,,,,,180,90,-4.6,left,1,0.567185372,left,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,5,1,79,,,,,,,,,,,,180,90,4.6,right,1,0.61989554,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,6,1,79,,,,,,,,,,,,180,90,-4.6,left,1,0.517780922,left,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,7,1,78,,,,,,,,,,,,0,0,-4.6,left,1,0.600731609,left,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,8,1,78,,,,,,,,,,,,180,0,4.6,right,1,0.519928489,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,9,1,78,,,,,,,,,,,,180,90,4.6,right,1,0.567085559,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,10,1,77,,,,,,,,,,,,180,90,4.6,right,1,0.550580208,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,11,1,77,,,,,,,,,,,,0,0,4.6,right,1,0.602966044,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,12,1,77,,,,,,,,,,,,180,90,-4.6,left,1,0.619247188,left,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,13,1,76,,,,,,,,,,,,180,90,-4.6,left,1,0.550762805,left,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,14,1,76,,,,,,,,,,,,0,0,4.6,right,1,0.48590961,right,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
,15,1,76,,,,,,,,,,,,0,0,-4.6,left,1,0.470414914,left,,,,,,,,,3,84,2019_Apr_01_1608,Flow_endo_post,3.0.5,59.96320849,
