Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,90,4.6,right,1,0.385928433,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,1,1,80,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.218921743,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,2,1,79,,,,,,,,,,,,-4.6,90,4.6,right,1,0.235600606,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,3,1,78,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.254494591,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,4,1,77,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.169598344,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,5,1,76,,,,,,,,,,,,-4.6,90,4.6,right,1,0.25217993,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,6,1,75,,,,,,,,,,,,4.6,90,4.6,right,1,0.203341484,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,7,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.202386805,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,8,1,73,,,,,,,,,,,,4.6,90,-4.6,left,0,0.184733245,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,9,1,74,,,,,,,,,,,,4.6,90,-4.6,left,1,0.2702336,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,10,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.250683455,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,11,1,74,,,,,,,,,,,,4.6,0,4.6,right,1,0.268196889,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,12,1,73,,,,,,,,,,,,4.6,90,4.6,right,1,0.16872281,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,13,1,73,,,,,,,,,,,,-4.6,0,4.6,right,1,0.300239588,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,14,1,73,,,,,,,,,,,,-4.6,0,4.6,right,0,0.334767959,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,15,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,0.234726655,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,16,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,0.268789702,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,17,1,74,,,,,,,,,,,,4.6,0,4.6,right,1,0.23474075,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,18,1,73,,,,,,,,,,,,-4.6,90,4.6,right,1,0.285239817,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,19,1,73,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.352221885,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,20,1,73,,,,,,,,,,,,4.6,90,4.6,right,1,0.233830154,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,21,1,72,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.301356455,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,22,1,72,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.252499597,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,23,1,72,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.199098863,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,24,1,71,,,,,,,,,,,,4.6,0,4.6,right,1,0.202783105,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,25,1,71,,,,,,,,,,,,-4.6,0,4.6,right,1,0.233813743,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,26,1,71,,,,,,,,,,,,-4.6,90,4.6,right,0,0.268146002,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,27,1,72,,,,,,,,,,,,4.6,0,-4.6,left,0,0.319316361,right,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
,28,1,73,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.385768183,left,,,,,,,,,2,21,2019_Apr_05_1605,Flow_exo_post,3.0.6,60.27150408,
