Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,180,90,-4.6,left,1,0.650453736,left,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,1,1,80,,,,,,,,,,,,0,0,-4.6,left,1,0.450200147,left,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,2,1,79,,,,,,,,,,,,180,0,-4.6,left,1,0.366618861,left,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,3,1,78,,,,,,,,,,,,180,0,4.6,right,1,0.366489089,right,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,4,1,77,,,,,,,,,,,,0,0,4.6,right,1,0.300544821,right,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,5,1,76,,,,,,,,,,,,180,90,-4.6,left,0,0.534198748,right,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,6,1,77,,,,,,,,,,,,180,0,4.6,right,1,0.483467602,right,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,7,1,77,,,,,,,,,,,,0,90,4.6,right,1,0.484923094,right,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,8,1,77,,,,,,,,,,,,0,0,4.6,right,1,0.450423693,right,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
,9,1,76,,,,,,,,,,,,180,90,-4.6,left,1,0.367150394,left,,,,,,,,,1,22,2019_Apr_03_1739,Flow_endo_post,3.0.5,60.10195524,
