Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,90,-4.6,left,1,1.069094,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,1,1,80,,,,,,,,,,,,4.6,90,4.6,right,1,0.6532911,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,2,1,79,,,,,,,,,,,,4.6,90,4.6,right,1,1.4859115,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,3,1,78,,,,,,,,,,,,4.6,0,4.6,right,1,1.0691842,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,4,1,77,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.8855318,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,5,1,76,,,,,,,,,,,,4.6,90,4.6,right,1,0.5514792,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,6,1,75,,,,,,,,,,,,4.6,0,4.6,right,1,1.0184114,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,7,1,74,,,,,,,,,,,,4.6,90,-4.6,left,0,1.9526248,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,8,1,75,,,,,,,,,,,,-4.6,0,4.6,right,1,2.7866716,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,9,1,75,,,,,,,,,,,,4.6,90,4.6,right,1,0.5345436,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,10,1,75,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.7860487,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,11,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,1.2520096,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,12,1,74,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.6850115,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,13,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,1.1531608,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,14,1,73,,,,,,,,,,,,4.6,0,4.6,right,1,0.9022193,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,15,1,73,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.7015732,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,16,1,73,,,,,,,,,,,,4.6,90,4.6,right,1,0.6519298,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,17,1,72,,,,,,,,,,,,4.6,0,4.6,right,1,0.7687018,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,18,1,72,,,,,,,,,,,,4.6,0,4.6,right,1,0.7351491,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,19,1,72,,,,,,,,,,,,-4.6,0,4.6,right,1,0.8522793,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,20,1,71,,,,,,,,,,,,4.6,90,-4.6,left,0,0.8348324,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,21,1,72,,,,,,,,,,,,-4.6,0,4.6,right,1,1.2853163,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,22,1,72,,,,,,,,,,,,-4.6,90,4.6,right,0,1.5337422,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,23,1,73,,,,,,,,,,,,-4.6,0,4.6,right,0,1.1678171,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,24,1,74,,,,,,,,,,,,4.6,0,-4.6,left,1,1.5189769,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,25,1,74,,,,,,,,,,,,-4.6,90,4.6,right,1,1.2689252,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,26,1,74,,,,,,,,,,,,-4.6,0,4.6,right,1,0.8020196,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,27,1,73,,,,,,,,,,,,-4.6,90,4.6,right,1,0.7018064,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,28,1,73,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.5684155,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,29,1,73,,,,,,,,,,,,4.6,90,-4.6,left,0,1.1848794,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,30,1,74,,,,,,,,,,,,-4.6,0,4.6,right,1,0.8687444,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,31,1,74,,,,,,,,,,,,4.6,90,-4.6,left,0,2.2033158,right,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
,32,1,75,,,,,,,,,,,,4.6,90,-4.6,left,1,0.9353707,left,,,,,,,,,2,25,2019_Apr_05_1729,Flow_exo_post,3.0.5,60.000636,
