Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,Time_pas_Ans.response,Time_pas_Ans.rt,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,Session,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,Friday,30.318,,,,,,,,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
0,1,81,,,,,,4.6,90,4.6,right,1,0.2529431529546855,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
1,1,80,,,,,,4.6,0,-4.6,left,0,0.48403417407826055,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
2,1,81,,,,,,-4.6,0,-4.6,left,1,0.3692418759892462,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
3,1,81,,,,,,-4.6,90,4.6,right,0,0.5861539811739931,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
4,1,82,,,,,,-4.6,90,4.6,right,1,0.6026218679326121,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
5,1,82,,,,,,4.6,90,4.6,right,1,0.6001835637289332,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
6,1,82,,,,,,4.6,0,-4.6,left,1,0.8520842919242568,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
7,1,81,,,,,,-4.6,90,4.6,right,1,0.634735822910443,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
8,1,81,,,,,,4.6,0,4.6,right,1,0.552163661661325,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
9,1,81,,,,,,-4.6,90,4.6,right,1,0.5696744580200175,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
10,1,80,,,,,,-4.6,90,-4.6,left,1,0.467888226849027,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
11,1,80,,,,,,-4.6,90,-4.6,left,1,0.4005946184624918,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
12,1,80,,,,,,-4.6,90,4.6,right,1,0.5504875396291027,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
13,1,79,,,,,,4.6,0,4.6,right,1,0.46764434794022236,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
14,1,79,,,,,,4.6,0,4.6,right,1,0.5006877578998683,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
15,1,79,,,,,,-4.6,0,-4.6,left,1,0.36775387526722625,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
16,1,78,,,,,,-4.6,0,4.6,right,1,0.5341287438204745,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
17,1,78,,,,,,4.6,90,-4.6,left,1,0.5369505633716471,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
18,1,78,,,,,,4.6,90,-4.6,left,1,0.5679018511000322,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
19,1,77,,,,,,-4.6,90,-4.6,left,1,0.45315900759305805,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
20,1,77,,,,,,4.6,0,-4.6,left,0,0.46749065090261865,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
21,1,78,,,,,,4.6,0,-4.6,left,1,0.6508405579807004,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
22,1,78,,,,,,4.6,0,-4.6,left,1,0.6025767770042876,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
23,1,78,,,,,,-4.6,0,-4.6,left,1,0.5172317659307737,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
24,1,77,,,,,,4.6,90,4.6,right,1,0.516949583980022,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
25,1,77,,,,,,-4.6,0,-4.6,left,1,0.4504714911308838,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
26,1,77,,,,,,4.6,90,-4.6,left,1,1.1180218754016096,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
27,1,76,,,,,,4.6,0,4.6,right,1,0.4669199839554494,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
28,1,76,,,,,,-4.6,90,-4.6,left,1,0.4687226515088696,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
29,1,76,,,,,,-4.6,90,4.6,right,1,0.5668996688036714,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
30,1,75,,,,,,-4.6,0,4.6,right,1,0.6007741094654193,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
31,1,75,,,,,,4.6,90,4.6,right,1,0.4693282275547972,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
32,1,75,,,,,,4.6,90,-4.6,left,1,0.7005123396374984,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
33,1,74,,,,,,-4.6,90,-4.6,left,1,0.43424651358509436,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
34,1,74,,,,,,4.6,90,-4.6,left,1,0.48572969004453626,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
35,1,74,,,,,,-4.6,90,4.6,right,1,1.9360465144563932,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
36,1,73,,,,,,4.6,90,4.6,right,1,0.4842465378169436,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
37,1,73,,,,,,4.6,0,4.6,right,1,0.43406566500198096,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
38,1,73,,,,,,4.6,0,-4.6,left,1,1.317505123646697,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
39,1,72,,,,,,4.6,90,4.6,right,1,0.45141015826084185,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
40,1,72,,,,,,4.6,0,-4.6,left,1,0.7031479772849707,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
41,1,72,,,,,,-4.6,90,-4.6,left,1,0.41760941460961476,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
42,1,71,,,,,,4.6,90,4.6,right,1,0.46804046934994403,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
43,1,71,,,,,,4.6,0,-4.6,left,0,0.45128312789893243,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
44,1,72,,,,,,4.6,90,-4.6,left,1,0.6349976412166143,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
45,1,72,,,,,,4.6,90,4.6,right,1,0.5024429102777503,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
46,1,72,,,,,,-4.6,0,-4.6,left,1,0.4675008327176329,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
47,1,71,,,,,,4.6,0,-4.6,left,1,0.717535863048397,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
48,1,71,,,,,,-4.6,90,4.6,right,1,0.7195683488826035,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
49,1,71,,,,,,-4.6,0,4.6,right,1,1.3011046308383811,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
50,1,70,,,,,,4.6,0,4.6,right,1,0.4008341337321326,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
51,1,70,,,,,,4.6,90,-4.6,left,1,1.3510018671513535,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
52,1,70,,,,,,-4.6,0,-4.6,left,1,0.41765062673948705,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
53,1,69,,,,,,4.6,0,4.6,right,1,0.4190179001307115,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
54,1,69,,,,,,4.6,90,4.6,right,1,0.6357418839907041,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
55,1,69,,,,,,-4.6,90,4.6,right,0,0.45018397584499326,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
56,1,70,,,,,,-4.6,0,-4.6,left,1,0.3858649143658113,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
57,1,70,,,,,,-4.6,90,4.6,right,1,2.05088196406723,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
58,1,70,,,,,,-4.6,0,4.6,right,1,0.8344324045756366,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
59,1,69,,,,,,-4.6,0,-4.6,left,1,0.7689569788926747,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
60,1,69,,,,,,-4.6,90,4.6,right,1,0.833592646595207,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
61,1,69,,,,,,4.6,90,4.6,right,1,0.5341689862689236,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
62,1,68,,,,,,-4.6,90,4.6,right,1,0.917086990099051,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
63,1,68,,,,,,4.6,0,4.6,right,1,0.5845568894874305,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
64,1,68,,,,,,-4.6,90,4.6,right,1,1.1674570508912439,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
65,1,67,,,,,,4.6,90,4.6,right,1,0.43435899847827386,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
66,1,67,,,,,,-4.6,90,4.6,right,0,0.433831483067479,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
67,1,68,,,,,,-4.6,0,4.6,right,0,1.216232347258483,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
68,1,69,,,,,,4.6,90,4.6,right,1,0.4173888084333157,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
69,1,69,,,,,,-4.6,90,-4.6,left,1,0.5530024499457795,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
70,1,69,,,,,,4.6,0,-4.6,left,0,0.36924333054048475,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
71,1,70,,,,,,4.6,0,4.6,right,1,0.8336682829831261,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
72,1,70,,,,,,4.6,0,-4.6,left,0,1.1340844286460197,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
73,1,71,,,,,,4.6,90,4.6,right,1,0.5165810989565216,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
74,1,71,,,,,,4.6,90,4.6,right,1,0.6181501178944018,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
75,1,71,,,,,,4.6,0,4.6,right,1,0.4338120891188737,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
76,1,70,,,,,,-4.6,0,-4.6,left,1,0.5023832738806959,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
77,1,70,,,,,,-4.6,90,-4.6,left,1,0.4170018991571851,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
78,1,70,,,,,,-4.6,90,4.6,right,0,0.9672441053262446,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
79,1,71,,,,,,-4.6,0,-4.6,left,1,0.4352598473924445,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
80,1,71,,,,,,4.6,0,4.6,right,1,0.41805741481948644,right,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
81,1,71,,,,,,-4.6,0,-4.6,left,1,0.4189582637336571,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
82,1,70,,,,,,-4.6,90,-4.6,left,1,0.367523087275913,left,,,,,003,215,2019_Apr_10_1413,Flow_exo_pre,3.0.5,60.02162234793732,
