Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,4.6,90,-4.6,left,1,2.150169551,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,1,1,80,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.600253963,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,2,1,79,,,,,,,,,,,,-4.6,90,4.6,right,1,0.650005188,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,3,1,78,,,,,,,,,,,,4.6,90,-4.6,left,1,0.533095725,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,4,1,77,,,,,,,,,,,,4.6,90,4.6,right,1,0.451329017,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,5,1,76,,,,,,,,,,,,4.6,90,-4.6,left,1,0.634384355,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,6,1,75,,,,,,,,,,,,4.6,90,4.6,right,1,0.484643409,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,7,1,74,,,,,,,,,,,,4.6,90,-4.6,left,1,1.000948363,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,8,1,73,,,,,,,,,,,,4.6,0,-4.6,left,1,0.766817196,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,9,1,72,,,,,,,,,,,,4.6,90,-4.6,left,1,0.517356589,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,10,1,71,,,,,,,,,,,,-4.6,0,4.6,right,1,0.700990351,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,11,1,70,,,,,,,,,,,,4.6,0,-4.6,left,1,0.633707022,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,12,1,69,,,,,,,,,,,,4.6,90,4.6,right,1,1.100580266,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,13,1,68,,,,,,,,,,,,4.6,0,-4.6,left,1,0.933992306,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,14,1,67,,,,,,,,,,,,-4.6,0,4.6,right,0,0.499929212,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,15,1,68,,,,,,,,,,,,-4.6,0,-4.6,left,1,1.250269818,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,16,1,68,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.700117624,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,17,1,68,,,,,,,,,,,,4.6,0,4.6,right,1,0.617919886,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,18,1,67,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.650272824,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,19,1,67,,,,,,,,,,,,4.6,0,4.6,right,1,1.583877252,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,20,1,67,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.485996135,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,21,1,66,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.466740396,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,22,1,66,,,,,,,,,,,,-4.6,0,4.6,right,0,0.43407764,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,23,1,67,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.550541042,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,24,1,67,,,,,,,,,,,,-4.6,0,4.6,right,0,0.352088871,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,25,1,68,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.368293946,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,26,1,68,,,,,,,,,,,,-4.6,0,4.6,right,0,0.367508977,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,27,1,69,,,,,,,,,,,,4.6,0,4.6,right,1,0.4501712,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,28,1,69,,,,,,,,,,,,4.6,0,4.6,right,1,1.316660057,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,29,1,69,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.336488886,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,30,1,68,,,,,,,,,,,,4.6,90,-4.6,left,1,0.816323572,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,31,1,68,,,,,,,,,,,,4.6,0,-4.6,left,1,0.900560096,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,32,1,68,,,,,,,,,,,,4.6,90,-4.6,left,1,2.450103321,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,33,1,67,,,,,,,,,,,,4.6,90,-4.6,left,1,0.816878238,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,34,1,67,,,,,,,,,,,,-4.6,0,4.6,right,0,3.316813269,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,35,1,68,,,,,,,,,,,,-4.6,0,4.6,right,0,2.01816774,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,36,1,69,,,,,,,,,,,,-4.6,90,-4.6,left,1,2.882862174,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,37,1,69,,,,,,,,,,,,4.6,0,-4.6,left,1,0.951767319,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,38,1,69,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.635351626,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,39,1,68,,,,,,,,,,,,4.6,0,-4.6,left,1,1.167438868,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,40,1,68,,,,,,,,,,,,4.6,90,4.6,right,1,0.567175692,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,41,1,68,,,,,,,,,,,,-4.6,90,4.6,right,0,1.283816452,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,42,1,69,,,,,,,,,,,,4.6,90,-4.6,left,0,0.549983952,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,43,1,70,,,,,,,,,,,,4.6,0,-4.6,left,1,0.650849793,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,44,1,70,,,,,,,,,,,,4.6,0,4.6,right,1,0.450583321,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,45,1,70,,,,,,,,,,,,-4.6,90,4.6,right,0,0.484779166,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,46,1,71,,,,,,,,,,,,4.6,90,4.6,right,1,0.467568516,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,47,1,71,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.434142124,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,48,1,71,,,,,,,,,,,,-4.6,90,4.6,right,1,1.650795005,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,49,1,70,,,,,,,,,,,,-4.6,90,4.6,right,0,1.233254077,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,50,1,71,,,,,,,,,,,,4.6,90,-4.6,left,1,2.152718397,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,51,1,71,,,,,,,,,,,,4.6,90,-4.6,left,1,1.099976145,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,52,1,71,,,,,,,,,,,,-4.6,0,4.6,right,0,2.684235458,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,53,1,72,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.550958496,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,54,1,72,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.583448162,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,55,1,72,,,,,,,,,,,,4.6,90,-4.6,left,1,0.850044751,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,56,1,71,,,,,,,,,,,,4.6,0,4.6,right,0,2.101727901,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,57,1,72,,,,,,,,,,,,4.6,0,4.6,right,1,0.550463951,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,58,1,72,,,,,,,,,,,,4.6,0,4.6,right,1,2.500999757,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,59,1,72,,,,,,,,,,,,4.6,0,4.6,right,1,0.601520871,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,60,1,71,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.534421785,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,61,1,71,,,,,,,,,,,,4.6,0,-4.6,left,1,1.151243975,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,62,1,71,,,,,,,,,,,,4.6,0,-4.6,left,1,2.250538424,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,63,1,70,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.450621139,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,64,1,70,,,,,,,,,,,,4.6,0,-4.6,left,1,1.418526624,left,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,65,1,70,,,,,,,,,,,,4.6,90,4.6,right,1,0.816432663,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,66,1,69,,,,,,,,,,,,4.6,0,4.6,right,1,0.534749057,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
,67,1,69,,,,,,,,,,,,4.6,90,4.6,right,1,0.751258908,right,,,,,,,,,2,185,2019_Apr_05_1601,Flow_exo_post,3.0.5,60.01804177,
