Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,4.6,90,4.6,right,1,1.115892872,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,1,1,80,,,,,,,,,,,,4.6,90,4.6,right,1,1.248941342,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,2,1,79,,,,,,,,,,,,-4.6,90,4.6,right,1,0.783358974,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,3,1,78,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.683611765,left,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,4,1,77,,,,,,,,,,,,-4.6,90,4.6,right,1,1.132219234,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,5,1,76,,,,,,,,,,,,4.6,90,4.6,right,1,0.533952244,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,6,1,75,,,,,,,,,,,,4.6,90,4.6,right,1,0.517317807,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,7,1,74,,,,,,,,,,,,4.6,0,-4.6,left,0,0.733309157,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,8,1,75,,,,,,,,,,,,4.6,90,4.6,right,1,0.583824967,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
,9,1,75,,,,,,,,,,,,-4.6,90,4.6,right,1,0.833210197,right,,,,,,,,,1,25,2016_Jan_02_1856,Flow_exo_post,3.0.5,60.14963569,
