Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,34,1,73,,,,,,,,,,,,180,0,-4.6,left,1,0.5682348,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,35,1,73,,,,,,,,,,,,180,0,4.6,right,1,0.5517223,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,36,1,72,,,,,,,,,,,,180,0,-4.6,left,0,1.152438,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,37,1,73,,,,,,,,,,,,180,0,4.6,right,1,0.5020063,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,38,1,73,,,,,,,,,,,,180,0,4.6,right,1,0.5678949,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,39,1,73,,,,,,,,,,,,0,0,4.6,right,1,0.4521458,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,40,1,72,,,,,,,,,,,,0,90,-4.6,left,0,0.6844664,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,41,1,73,,,,,,,,,,,,180,0,-4.6,left,1,0.6350826,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,42,1,73,,,,,,,,,,,,180,0,-4.6,left,1,0.451066,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,43,1,73,,,,,,,,,,,,0,90,4.6,right,1,0.434315,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,44,1,72,,,,,,,,,,,,180,0,4.6,right,1,0.5678282,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,45,1,72,,,,,,,,,,,,0,90,4.6,right,1,0.4349115,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,46,1,72,,,,,,,,,,,,0,0,4.6,right,1,0.5181935,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,47,1,71,,,,,,,,,,,,180,90,-4.6,left,1,0.4843389,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,48,1,71,,,,,,,,,,,,180,0,4.6,right,1,0.5177595,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,49,1,71,,,,,,,,,,,,180,0,-4.6,left,1,0.4683279,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,50,1,70,,,,,,,,,,,,180,0,-4.6,left,1,0.4846622,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,51,1,70,,,,,,,,,,,,0,90,-4.6,left,0,0.6010755,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,52,1,71,,,,,,,,,,,,0,90,4.6,right,1,0.5349975,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,53,1,71,,,,,,,,,,,,0,90,4.6,right,1,0.6183425,right,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,54,1,71,,,,,,,,,,,,180,90,-4.6,left,1,0.5506521,left,,,,,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,0,1,81,,,,,,,,,,90,4.6,right,,,,-4.6,1,0.8012373,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,1,1,80,,,,,,,,,,0,4.6,right,,,,4.6,1,0.6182944,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,2,1,79,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.6690717,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,3,1,78,,,,,,,,,,90,4.6,right,,,,-4.6,1,0.6679383,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,4,1,77,,,,,,,,,,90,4.6,right,,,,4.6,1,0.6180775,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,5,1,76,,,,,,,,,,90,4.6,right,,,,4.6,1,0.5846107,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,6,1,75,,,,,,,,,,0,4.6,right,,,,4.6,1,0.5851267,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,7,1,74,,,,,,,,,,0,4.6,right,,,,4.6,1,0.5684764,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,8,1,73,,,,,,,,,,90,4.6,right,,,,-4.6,1,0.7687483,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,9,1,72,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.6015741,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,10,1,71,,,,,,,,,,0,4.6,right,,,,-4.6,1,1.0842097,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,11,1,70,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.5490831,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,12,1,69,,,,,,,,,,0,-4.6,left,,,,4.6,0,0.68468,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,13,1,70,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.5684163,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,14,1,70,,,,,,,,,,90,-4.6,left,,,,4.6,1,0.7688231,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,15,1,70,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.485388,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,16,1,69,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.7033226,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,17,1,69,,,,,,,,,,90,-4.6,left,,,,4.6,0,0.6186118,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,18,1,70,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.6176657,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,19,1,70,,,,,,,,,,90,-4.6,left,,,,4.6,1,1.0523133,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,20,1,70,,,,,,,,,,90,4.6,right,,,,4.6,0,1.9863083,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,21,1,71,,,,,,,,,,0,-4.6,left,,,,4.6,0,0.8013788,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,22,1,72,,,,,,,,,,90,4.6,right,,,,4.6,1,0.5016207,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,23,1,72,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.7523109,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,24,1,72,,,,,,,,,,0,4.6,right,,,,-4.6,1,0.9671794,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,25,1,71,,,,,,,,,,90,4.6,right,,,,4.6,0,0.651782,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,26,1,72,,,,,,,,,,90,-4.6,left,,,,4.6,1,0.8344132,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,27,1,72,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.5678998,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,28,1,72,,,,,,,,,,90,4.6,right,,,,4.6,1,0.5844241,right,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,29,1,71,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.5515226,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
