Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,0,4.6,right,1,0.867382068,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,1,1,80,,,,,,,,,,,,180,0,-4.6,left,1,0.691012037,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,2,1,79,,,,,,,,,,,,180,0,-4.6,left,1,0.735931681,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,3,1,78,,,,,,,,,,,,0,0,4.6,right,1,0.635059619,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,4,1,77,,,,,,,,,,,,180,90,-4.6,left,1,0.701624485,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,5,1,76,,,,,,,,,,,,180,90,4.6,right,1,0.717764734,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,6,1,75,,,,,,,,,,,,0,90,-4.6,left,1,0.706052854,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,7,1,74,,,,,,,,,,,,180,90,-4.6,left,1,0.753265213,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,8,1,73,,,,,,,,,,,,0,90,4.6,right,1,0.733307782,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,9,1,72,,,,,,,,,,,,0,0,-4.6,left,1,0.739442964,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,10,1,71,,,,,,,,,,,,0,90,4.6,right,1,0.637485396,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,11,1,70,,,,,,,,,,,,0,0,-4.6,left,1,1.440584952,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,12,1,69,,,,,,,,,,,,0,0,4.6,right,1,1.491304615,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,13,1,68,,,,,,,,,,,,0,90,-4.6,left,1,1.456837289,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,14,1,67,,,,,,,,,,,,180,0,4.6,right,1,1.641953457,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,15,1,66,,,,,,,,,,,,180,90,-4.6,left,1,1.456433171,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,16,1,65,,,,,,,,,,,,0,0,-4.6,left,0,1.42110585,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,17,1,66,,,,,,,,,,,,180,0,4.6,right,0,1.541639047,left,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,18,1,67,,,,,,,,,,,,180,90,-4.6,left,0,1.610536269,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,19,1,68,,,,,,,,,,,,180,90,4.6,right,1,1.473747476,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,20,1,68,,,,,,,,,,,,0,0,-4.6,left,0,1.341164375,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,21,1,69,,,,,,,,,,,,180,0,4.6,right,1,2.460247644,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,22,1,69,,,,,,,,,,,,180,0,4.6,right,1,1.440434338,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,23,1,69,,,,,,,,,,,,0,0,4.6,right,1,1.674708239,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,24,1,68,,,,,,,,,,,,0,90,4.6,right,1,1.457174162,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
,25,1,68,,,,,,,,,,,,0,90,4.6,right,1,1.575263052,right,,,,,,,,,1,192,2019_Apr_03_1604,Flow_endo_post,3.0.5,58.4168345,
