Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,0,-4.6,left,1,0.5519426,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,1,1,80,,,,,,,,,,,,0,90,4.6,right,1,0.485054,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,2,1,79,,,,,,,,,,,,0,0,4.6,right,1,0.434325,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,3,1,78,,,,,,,,,,,,180,0,4.6,right,1,0.734803,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,4,1,77,,,,,,,,,,,,180,0,-4.6,left,1,0.4495295,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,5,1,76,,,,,,,,,,,,180,0,4.6,right,1,0.4176251,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,6,1,75,,,,,,,,,,,,0,0,-4.6,left,1,0.4352196,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,7,1,74,,,,,,,,,,,,180,90,4.6,right,1,0.4352138,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,8,1,73,,,,,,,,,,,,180,90,-4.6,left,1,0.434027,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,9,1,72,,,,,,,,,,,,180,0,4.6,right,1,0.4511241,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,10,1,71,,,,,,,,,,,,180,90,4.6,right,1,0.4515105,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,11,1,70,,,,,,,,,,,,180,90,-4.6,left,0,0.7011886,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,12,1,71,,,,,,,,,,,,180,90,-4.6,left,1,0.418199,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,13,1,71,,,,,,,,,,,,180,90,4.6,right,1,0.4513715,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,14,1,71,,,,,,,,,,,,180,90,4.6,right,1,0.4176509,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,15,1,70,,,,,,,,,,,,0,0,4.6,right,1,0.3510936,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,16,1,70,,,,,,,,,,,,180,90,4.6,right,1,0.3682808,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,17,1,70,,,,,,,,,,,,180,90,-4.6,left,1,0.3177851,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,18,1,69,,,,,,,,,,,,180,90,4.6,right,1,0.4006372,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,19,1,69,,,,,,,,,,,,180,0,4.6,right,1,0.3680345,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,20,1,69,,,,,,,,,,,,180,0,4.6,right,1,0.4028822,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,21,1,68,,,,,,,,,,,,0,90,-4.6,left,1,0.601466,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,22,1,68,,,,,,,,,,,,0,90,-4.6,left,1,0.4688325,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,23,1,68,,,,,,,,,,,,180,90,4.6,right,1,0.4348788,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,24,1,67,,,,,,,,,,,,0,90,4.6,right,1,0.4194878,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,25,1,67,,,,,,,,,,,,180,0,4.6,right,1,0.4351226,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,26,1,67,,,,,,,,,,,,180,0,4.6,right,1,0.4350722,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,27,1,66,,,,,,,,,,,,180,90,-4.6,left,1,0.4846464,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,28,1,66,,,,,,,,,,,,0,90,4.6,right,1,0.7348288,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,29,1,66,,,,,,,,,,,,180,0,4.6,right,0,1.4862744,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,30,1,67,,,,,,,,,,,,0,90,-4.6,left,0,0.4512215,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,31,1,68,,,,,,,,,,,,0,90,4.6,right,1,0.4346772,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,32,1,68,,,,,,,,,,,,0,90,4.6,right,1,0.4348859,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,33,1,68,,,,,,,,,,,,0,0,-4.6,left,1,0.8511783,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,34,1,67,,,,,,,,,,,,0,90,-4.6,left,1,0.5687923,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,35,1,67,,,,,,,,,,,,0,90,-4.6,left,1,0.8014543,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,36,1,67,,,,,,,,,,,,0,0,-4.6,left,0,0.668409,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,37,1,68,,,,,,,,,,,,180,90,4.6,right,1,0.4845808,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,38,1,68,,,,,,,,,,,,180,0,4.6,right,0,1.1855841,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,39,1,69,,,,,,,,,,,,0,90,4.6,right,1,0.4854145,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,40,1,69,,,,,,,,,,,,180,0,-4.6,left,1,0.4352174,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,41,1,69,,,,,,,,,,,,180,90,-4.6,left,1,0.4350515,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,42,1,68,,,,,,,,,,,,180,0,4.6,right,0,1.0859035,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,43,1,69,,,,,,,,,,,,180,90,4.6,right,1,0.4513398,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,44,1,69,,,,,,,,,,,,180,90,4.6,right,1,0.4349629,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,45,1,69,,,,,,,,,,,,0,0,-4.6,left,1,0.785796,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,46,1,68,,,,,,,,,,,,0,90,4.6,right,1,0.3847369,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,47,1,68,,,,,,,,,,,,0,0,4.6,right,0,1.0859238,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,48,1,69,,,,,,,,,,,,180,90,4.6,right,1,0.5347538,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,49,1,69,,,,,,,,,,,,180,90,-4.6,left,1,0.4686316,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,50,1,69,,,,,,,,,,,,180,0,4.6,right,1,0.9028904,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,51,1,68,,,,,,,,,,,,180,0,4.6,right,0,0.7179969,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,52,1,69,,,,,,,,,,,,180,90,-4.6,left,1,0.534588,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,53,1,69,,,,,,,,,,,,0,0,-4.6,left,1,0.8348023,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,54,1,69,,,,,,,,,,,,180,0,-4.6,left,1,0.3848341,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,55,1,68,,,,,,,,,,,,0,0,4.6,right,1,0.5346414,right,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,56,1,68,,,,,,,,,,,,180,90,4.6,right,0,0.835308,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,57,1,69,,,,,,,,,,,,0,0,-4.6,left,1,0.4516616,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,58,1,69,,,,,,,,,,,,180,0,-4.6,left,1,0.4850169,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,59,1,69,,,,,,,,,,,,180,0,-4.6,left,1,0.4673186,left,,,,,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,0,1,81,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.5995366,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,1,1,80,,,,,,,,,,0,4.6,right,,,,4.6,1,0.5839265,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,2,1,79,,,,,,,,,,0,4.6,right,,,,-4.6,1,0.8023069,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,3,1,78,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.6520552,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,4,1,77,,,,,,,,,,90,-4.6,left,,,,4.6,1,0.5850612,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,5,1,76,,,,,,,,,,90,4.6,right,,,,4.6,1,0.6516975,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,6,1,75,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.6856707,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,7,1,74,,,,,,,,,,0,4.6,right,,,,4.6,1,0.7183602,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,8,1,73,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.8186199,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,9,1,72,,,,,,,,,,0,4.6,right,,,,4.6,1,0.5681834,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,10,1,71,,,,,,,,,,0,4.6,right,,,,4.6,1,0.6013403,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,11,1,70,,,,,,,,,,90,4.6,right,,,,-4.6,1,0.935102,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,12,1,69,,,,,,,,,,0,4.6,right,,,,4.6,1,0.5514941,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,13,1,68,,,,,,,,,,90,4.6,right,,,,4.6,1,0.6519699,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,14,1,67,,,,,,,,,,90,4.6,right,,,,-4.6,1,1.7188796,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,15,1,66,,,,,,,,,,0,-4.6,left,,,,4.6,0,0.4680428,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,16,1,67,,,,,,,,,,0,4.6,right,,,,-4.6,0,0.9347146,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,17,1,68,,,,,,,,,,0,4.6,right,,,,-4.6,1,0.8854574,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,18,1,68,,,,,,,,,,0,4.6,right,,,,-4.6,0,0.818188,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,19,1,69,,,,,,,,,,90,-4.6,left,,,,4.6,1,1.7366111,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,20,1,69,,,,,,,,,,0,-4.6,left,,,,4.6,1,0.7330533,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,21,1,69,,,,,,,,,,90,4.6,right,,,,-4.6,1,1.2514039,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,22,1,68,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.8372306,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,23,1,68,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.5351019,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,24,1,68,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.6686305,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,25,1,67,,,,,,,,,,0,4.6,right,,,,4.6,1,0.4850625,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,26,1,67,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.5525117,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,27,1,67,,,,,,,,,,0,4.6,right,,,,4.6,1,0.6689484,right,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,28,1,66,,,,,,,,,,0,-4.6,left,,,,-4.6,1,0.7357539,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
,,,,29,1,66,,,,,,,,,,90,-4.6,left,,,,-4.6,1,0.9202517,left,,,,,3,211,2019_Apr_10_1608,Flow_endo_post,3.0.5,60.35891827,
