Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Monday;38.199;;;;;;;;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
0;1;81;;;;;;-4.6;90;-4.6;left;1;1.533387604;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
1;1;80;;;;;;4.6;90;4.6;right;1;0.599677964;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
2;1;79;;;;;;-4.6;0;-4.6;left;1;0.570047447;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
3;1;78;;;;;;-4.6;0;-4.6;left;1;0.518191013;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
4;1;77;;;;;;-4.6;0;-4.6;left;1;0.487149103;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
5;1;76;;;;;;4.6;0;-4.6;left;1;0.599774449;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
6;1;75;;;;;;-4.6;90;-4.6;left;1;0.600772751;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
7;1;74;;;;;;-4.6;90;-4.6;left;1;0.518672952;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
8;1;73;;;;;;4.6;0;4.6;right;1;0.516818408;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
9;1;72;;;;;;4.6;90;-4.6;left;1;0.767463013;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
10;1;71;;;;;;-4.6;90;4.6;right;1;0.684230124;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
11;1;70;;;;;;4.6;90;-4.6;left;1;0.701031078;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
12;1;69;;;;;;4.6;90;4.6;right;1;0.466641972;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
13;1;68;;;;;;4.6;90;4.6;right;1;0.550783951;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
14;1;67;;;;;;4.6;0;-4.6;left;1;0.884156718;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
15;1;66;;;;;;-4.6;0;4.6;right;1;0.734275167;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
16;1;65;;;;;;-4.6;0;4.6;right;0;0.402073307;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
17;1;66;;;;;;4.6;0;-4.6;left;0;0.701076169;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
18;1;67;;;;;;-4.6;90;4.6;right;0;0.418201291;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
19;1;68;;;;;;-4.6;90;-4.6;left;1;2.050458133;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
20;1;68;;;;;;4.6;90;-4.6;left;1;0.868270673;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
21;1;68;;;;;;-4.6;0;4.6;right;1;0.619516975;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
22;1;67;;;;;;-4.6;0;4.6;right;1;0.567547086;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
23;1;67;;;;;;-4.6;0;-4.6;left;1;0.452820409;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
24;1;67;;;;;;4.6;90;-4.6;left;1;0.566924541;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
25;1;66;;;;;;-4.6;0;-4.6;left;1;0.649684218;left;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
26;1;66;;;;;;4.6;90;4.6;right;1;0.483865228;right;;;;;2;225;2019_Apr_05_1544;Flow_exo_pre;3.0.5;60.24964508
