Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,Time_pas_Ans.response,Time_pas_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
0,1,81,,,,0,90,-4.6,left,1,2.08723669099993,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
1,1,80,,,,0,90,-4.6,left,1,0.8171555909999597,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
2,1,79,,,,180,0,4.6,right,1,0.7173274470000024,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
3,1,78,,,,180,0,-4.6,left,1,0.8529374340000686,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
4,1,77,,,,180,0,4.6,right,1,0.7531473880000021,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
5,1,76,,,,180,0,4.6,right,1,0.7507819799999425,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
6,1,75,,,,0,0,-4.6,left,1,0.8527885349999451,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
7,1,74,,,,0,0,-4.6,left,1,0.6697228649999261,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
8,1,73,,,,180,90,-4.6,left,0,0.8004129259999218,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
9,1,74,,,,180,0,4.6,right,1,0.6172763160000159,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
10,1,74,,,,180,90,4.6,right,1,0.6523568750000095,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
11,1,74,,,,0,0,-4.6,left,1,0.6366002279999066,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
12,1,73,,,,180,90,-4.6,left,1,0.8173697000000857,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
13,1,73,,,,0,90,-4.6,left,1,1.8533066049999434,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
14,1,73,,,,180,0,4.6,right,0,1.4367294600000378,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
15,1,74,,,,0,0,-4.6,left,1,0.8198130219999484,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
16,1,74,,,,180,90,-4.6,left,1,0.8869010829999979,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
17,1,74,,,,0,0,4.6,right,1,0.7174591000000419,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
18,1,73,,,,0,90,-4.6,left,1,0.5699868210000432,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
19,1,73,,,,0,0,-4.6,left,1,0.5672334610000007,left,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
20,1,73,,,,0,90,4.6,right,1,0.7838887340000156,right,,,,,,,001,244,2019_Apr_03_1547,Flow_endo_pre,3.0.5,59.99154503162427,
