Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;0;4.6;right;0;1.000957093;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
1;1;82;;;;0;90;-4.6;left;1;0.634353715;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
2;1;81;;;;0;0;4.6;right;1;0.567806192;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
3;1;81;;;;0;90;4.6;right;1;0.684323751;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
4;1;81;;;;180;90;4.6;right;1;0.617500349;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
5;1;80;;;;0;0;4.6;right;1;0.567738313;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
6;1;80;;;;180;0;-4.6;left;1;0.634264503;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
7;1;80;;;;0;90;-4.6;left;1;0.584231921;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
8;1;79;;;;180;90;4.6;right;1;0.734246272;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
9;1;79;;;;180;90;-4.6;left;1;0.618343017;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
10;1;79;;;;180;90;-4.6;left;1;0.601121166;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
11;1;78;;;;180;90;-4.6;left;1;0.534540673;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
12;1;78;;;;0;0;4.6;right;1;0.467570846;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
13;1;78;;;;180;90;4.6;right;1;0.550366158;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
14;1;77;;;;0;0;4.6;right;1;0.551028463;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
15;1;77;;;;0;90;-4.6;left;1;0.484613303;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
16;1;77;;;;0;90;4.6;right;1;0.534268188;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
17;1;76;;;;180;0;-4.6;left;1;0.501031275;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
18;1;76;;;;0;90;-4.6;left;1;0.484008696;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
19;1;76;;;;180;90;-4.6;left;1;0.501287275;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
20;1;75;;;;0;0;-4.6;left;1;0.667957659;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
21;1;75;;;;0;0;-4.6;left;1;0.483119482;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
22;1;75;;;;180;90;4.6;right;1;0.484329182;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
23;1;74;;;;0;90;-4.6;left;1;0.484295242;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
24;1;74;;;;180;0;-4.6;left;1;0.534370976;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
25;1;74;;;;0;90;4.6;right;1;0.467756544;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
26;1;73;;;;180;0;4.6;right;1;0.701170814;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
27;1;73;;;;180;0;-4.6;left;1;0.484539606;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
28;1;73;;;;0;0;-4.6;left;1;0.467015694;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
29;1;72;;;;180;0;4.6;right;1;0.619080473;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
30;1;72;;;;180;90;-4.6;left;1;0.817611767;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
31;1;72;;;;180;0;4.6;right;1;0.500815517;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
32;1;71;;;;180;0;4.6;right;1;0.71767121;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
33;1;71;;;;0;90;-4.6;left;1;0.484463485;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
34;1;71;;;;180;90;-4.6;left;1;0.651019444;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
35;1;70;;;;180;90;4.6;right;1;0.634808989;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
36;1;70;;;;180;0;4.6;right;1;1.267815792;right;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
37;1;70;;;;0;0;-4.6;left;1;0.551115251;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
38;1;69;;;;180;90;4.6;right;0;1.79945755;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
39;1;70;;;;180;0;-4.6;left;1;0.434254903;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
40;1;70;;;;180;90;-4.6;left;1;0.617874653;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
41;1;70;;;;180;90;-4.6;left;1;0.567364494;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
42;1;69;;;;0;0;4.6;right;0;1.017589852;left;;;;;;;1;85;2019_Mar_27_1328;Flow_endo_pre;3.0.5;60.0206617
