Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;0;4.6;right;1;0.752937817;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
1;1;80;;;;0;0;4.6;right;1;0.619605033;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
2;1;79;;;;0;0;-4.6;left;1;0.550972339;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
3;1;78;;;;0;90;-4.6;left;1;0.566851604;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
4;1;77;;;;180;0;-4.6;left;1;0.519637566;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
5;1;76;;;;180;0;-4.6;left;1;0.551215248;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
6;1;75;;;;180;90;4.6;right;1;0.600195103;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
7;1;74;;;;180;0;4.6;right;1;0.500775515;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
8;1;73;;;;0;0;-4.6;left;1;0.502830787;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
9;1;72;;;;0;0;-4.6;left;1;0.518677567;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
10;1;71;;;;0;90;-4.6;left;1;0.866601762;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
11;1;70;;;;180;0;4.6;right;1;0.550990763;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
12;1;69;;;;0;90;4.6;right;1;1.234578311;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
13;1;68;;;;0;0;-4.6;left;1;0.486103037;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
14;1;67;;;;180;90;-4.6;left;0;0.55456264;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
15;1;68;;;;0;0;-4.6;left;1;0.550850157;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
16;1;68;;;;0;0;-4.6;left;1;0.535773316;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
17;1;68;;;;0;90;-4.6;left;0;0.616895216;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
18;1;69;;;;0;0;-4.6;left;1;0.534015256;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
19;1;69;;;;0;90;4.6;right;1;0.48479831;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
20;1;69;;;;0;0;-4.6;left;1;0.451150327;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
21;1;68;;;;0;90;4.6;right;1;0.633594359;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
22;1;68;;;;180;0;4.6;right;1;0.535387862;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
23;1;68;;;;0;0;4.6;right;0;1.084403838;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
24;1;69;;;;0;90;4.6;right;1;0.550853551;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
25;1;69;;;;180;90;-4.6;left;1;1.350812921;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
26;1;69;;;;180;0;-4.6;left;1;0.58529814;left;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
27;1;68;;;;0;0;4.6;right;1;1.550714885;right;;;;;;;2;175;2019_Apr_05_1357;Flow_endo_pre;3.0.5;59.94527181
