Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,4.6,90,4.6,right,1,0.368047325,right,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,1,1,80,,,,,,,,,,,,-4.6,90,4.6,right,1,0.268679223,right,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,2,1,79,,,,,,,,,,,,4.6,90,-4.6,left,1,0.4189687,left,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,3,1,78,,,,,,,,,,,,-4.6,0,4.6,right,1,0.284904055,right,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,4,1,77,,,,,,,,,,,,4.6,0,-4.6,left,1,0.383876794,left,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,5,1,76,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.335141394,left,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,6,1,75,,,,,,,,,,,,-4.6,90,4.6,right,1,0.2705267,right,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,7,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.237443511,right,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,8,1,73,,,,,,,,,,,,4.6,90,4.6,right,1,0.236517045,right,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,9,1,72,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.284756736,left,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,10,1,71,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.28578624,left,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
,11,1,70,,,,,,,,,,,,-4.6,0,4.6,right,1,0.301264338,right,,,,,,,,,2,263,2019_Apr_05_1726,Flow_exo_post,3.0.6,60.09103491,
