Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;Monday;82.575;;;;;;;;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
0;1;81;;;;;;4.6;0;-4.6;left;1;1.0853614;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
1;1;80;;;;;;-4.6;0;-4.6;left;1;0.6017133;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
2;1;79;;;;;;-4.6;0;-4.6;left;1;0.5188665;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
3;1;78;;;;;;-4.6;0;-4.6;left;1;0.5189651;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
4;1;77;;;;;;4.6;0;4.6;right;1;0.7194358;right;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
5;1;76;;;;;;4.6;90;-4.6;left;1;1.0857249;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
6;1;75;;;;;;4.6;90;-4.6;left;1;0.9354538;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
7;1;74;;;;;;-4.6;90;4.6;right;1;0.7188502;right;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
8;1;73;;;;;;-4.6;0;4.6;right;1;1.0522975;right;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
9;1;72;;;;;;4.6;90;-4.6;left;1;1.6357343;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
10;1;71;;;;;;-4.6;0;4.6;right;1;0.8018243;right;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
11;1;70;;;;;;-4.6;0;-4.6;left;1;0.8687764;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
12;1;69;;;;;;-4.6;0;4.6;right;1;0.8358883;right;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
13;1;68;;;;;;-4.6;0;4.6;right;0;1.8197353;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
14;1;69;;;;;;4.6;0;4.6;right;1;0.8686036;right;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
15;1;69;;;;;;-4.6;90;-4.6;left;1;1.5364577;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
16;1;69;;;;;;-4.6;90;4.6;right;0;1.3696474;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
17;1;70;;;;;;4.6;90;4.6;right;1;0.6853854;right;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
18;1;70;;;;;;-4.6;0;-4.6;left;1;0.7190428;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
19;1;70;;;;;;-4.6;0;-4.6;left;1;0.5505689;left;;;;;3;3;2019_Mar_31_1416;Flow_exo_pre;3.0.5;59.85536551
