Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;0;4.6;right;1;0.720483338;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
1;1;80;;;;180;90;-4.6;left;1;0.670121721;left;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
2;1;79;;;;0;90;4.6;right;1;0.724308865;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
3;1;78;;;;180;0;4.6;right;1;0.902137479;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
4;1;77;;;;180;90;4.6;right;1;0.708700717;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
5;1;76;;;;180;90;-4.6;left;1;0.786910327;left;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
6;1;75;;;;0;90;4.6;right;1;0.627421517;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
7;1;74;;;;180;0;4.6;right;1;1.224272974;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
8;1;73;;;;180;0;4.6;right;1;1.705596637;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
9;1;72;;;;0;0;-4.6;left;1;1.404924143;left;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
10;1;71;;;;180;0;-4.6;left;1;1.474058835;left;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
11;1;70;;;;180;90;-4.6;left;1;1.557882535;left;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
12;1;69;;;;180;0;4.6;right;1;1.475662089;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
13;1;68;;;;180;0;4.6;right;1;1.574419436;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
14;1;67;;;;180;90;4.6;right;1;1.373636966;right;;;;;;;3;2;2019_Mar_22_1404;Flow_endo_pre;3.0.5;59.08474656
