Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,180,90,4.6,right,1,0.470139887,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,1,1,80,,,,,,,,,,,,0,0,4.6,right,1,1.651887122,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,2,1,79,,,,,,,,,,,,180,90,4.6,right,0,1.218710663,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,3,1,80,,,,,,,,,,,,180,90,4.6,right,1,0.635837258,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,4,1,80,,,,,,,,,,,,180,0,4.6,right,1,0.586639995,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,5,1,80,,,,,,,,,,,,180,90,-4.6,left,1,0.468595364,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,6,1,79,,,,,,,,,,,,0,90,4.6,right,1,0.516828053,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,7,1,79,,,,,,,,,,,,180,90,-4.6,left,1,0.35460905,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,8,1,79,,,,,,,,,,,,0,0,-4.6,left,1,0.434916352,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,9,1,78,,,,,,,,,,,,180,0,4.6,right,1,0.500376938,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,10,1,78,,,,,,,,,,,,0,0,-4.6,left,1,0.402246323,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,11,1,78,,,,,,,,,,,,180,0,-4.6,left,1,0.415209913,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,12,1,77,,,,,,,,,,,,180,0,4.6,right,1,0.551673672,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,13,1,77,,,,,,,,,,,,180,0,4.6,right,1,0.484227436,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,14,1,77,,,,,,,,,,,,0,0,4.6,right,1,0.418807161,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,15,1,76,,,,,,,,,,,,180,0,-4.6,left,1,0.384348627,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,16,1,76,,,,,,,,,,,,0,90,4.6,right,1,0.451604714,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,17,1,76,,,,,,,,,,,,0,0,-4.6,left,1,0.36926611,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,18,1,75,,,,,,,,,,,,180,0,-4.6,left,1,0.384132306,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,19,1,75,,,,,,,,,,,,0,0,4.6,right,1,0.317752117,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,20,1,75,,,,,,,,,,,,0,90,-4.6,left,1,0.269260574,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,21,1,74,,,,,,,,,,,,180,90,-4.6,left,1,0.419756609,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,22,1,74,,,,,,,,,,,,180,90,4.6,right,0,0.468511136,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,23,1,75,,,,,,,,,,,,180,0,-4.6,left,1,0.350590358,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,24,1,75,,,,,,,,,,,,0,90,4.6,right,1,0.335356615,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,25,1,75,,,,,,,,,,,,180,90,4.6,right,1,0.435561243,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,26,1,74,,,,,,,,,,,,180,0,4.6,right,1,0.535417757,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,27,1,74,,,,,,,,,,,,0,90,-4.6,left,1,0.369165582,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,28,1,74,,,,,,,,,,,,0,90,-4.6,left,1,0.885881641,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,29,1,73,,,,,,,,,,,,0,0,-4.6,left,1,0.453491803,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,30,1,73,,,,,,,,,,,,0,90,-4.6,left,1,0.335481432,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,31,1,73,,,,,,,,,,,,180,0,-4.6,left,1,0.335229338,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,32,1,72,,,,,,,,,,,,0,90,4.6,right,1,0.417081475,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,33,1,72,,,,,,,,,,,,0,0,-4.6,left,1,0.434443367,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,34,1,72,,,,,,,,,,,,0,0,4.6,right,1,0.318702379,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,35,1,71,,,,,,,,,,,,180,90,4.6,right,1,0.318069077,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,36,1,71,,,,,,,,,,,,180,0,-4.6,left,1,0.251526822,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,37,1,71,,,,,,,,,,,,180,0,4.6,right,1,0.318952523,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,38,1,70,,,,,,,,,,,,180,0,4.6,right,1,0.352353764,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,39,1,70,,,,,,,,,,,,180,0,4.6,right,1,0.335680214,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,40,1,70,,,,,,,,,,,,0,90,-4.6,left,1,0.367505332,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,41,1,69,,,,,,,,,,,,0,0,4.6,right,1,0.420363308,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,42,1,69,,,,,,,,,,,,180,0,4.6,right,1,0.349789728,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,43,1,69,,,,,,,,,,,,180,0,-4.6,left,1,0.23447706,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,44,1,68,,,,,,,,,,,,0,0,-4.6,left,0,0.285765207,right,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
,45,1,69,,,,,,,,,,,,180,90,-4.6,left,1,1.45242504,left,,,,,,,,,1,273,2019_Apr_03_1727,Flow_endo_post,3.0.6,60.09174628,
