Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,4.6,90,4.6,right,1,0.3687862,right,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,1,1,80,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.2504979,left,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,2,1,79,,,,,,,,,,,,-4.6,0,4.6,right,1,0.3016441,right,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,3,1,78,,,,,,,,,,,,4.6,0,-4.6,left,1,0.5171637,left,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,4,1,77,,,,,,,,,,,,-4.6,0,4.6,right,1,0.6184901,right,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,5,1,76,,,,,,,,,,,,4.6,90,-4.6,left,1,0.4513917,left,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,6,1,75,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.5008273,left,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,7,1,74,,,,,,,,,,,,4.6,90,-4.6,left,1,0.6174319,left,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,8,1,73,,,,,,,,,,,,-4.6,0,4.6,right,0,0.20166,left,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,9,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.4345589,right,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
,10,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.3174773,left,,,,,,,,,3,71,2019_Apr_01_1607,Flow_exo_post,3.0.5,60.00610865,
