Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;Time_pas_Ans.response;Time_pas_Ans.rt;cueExoPos;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress_2.rt;keyPress_2.rl;cueOri;Stair2.response;keyPress.rt;keyPress.rl;Session;Participant;date;expName;psychopyVersion;frameRate
;;;;;;   Wednesday   ;38.427;;;;;;;;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
0;1;81;;;;;;4.6;90;-4.6;left;0;1.354994369;right;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
1;1;82;;;;;;4.6;0;4.6;right;1;0.767312918;right;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
2;1;81;;;;;;-4.6;90;-4.6;left;1;0.553245791;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
3;1;81;;;;;;-4.6;90;4.6;right;1;0.403262227;right;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
4;1;81;;;;;;-4.6;0;-4.6;left;1;0.636261478;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
5;1;80;;;;;;-4.6;0;4.6;right;1;1.0190361;right;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
6;1;80;;;;;;4.6;90;-4.6;left;1;0.836311963;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
7;1;80;;;;;;-4.6;0;4.6;right;1;1.016995775;right;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
8;1;79;;;;;;-4.6;0;4.6;right;1;1.000690525;right;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
9;1;79;;;;;;-4.6;0;-4.6;left;1;0.903276321;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
10;1;79;;;;;;-4.6;90;-4.6;left;1;0.819498639;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
11;1;78;;;;;;-4.6;90;-4.6;left;1;0.98399014;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
12;1;78;;;;;;-4.6;0;-4.6;left;1;0.836060288;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
13;1;78;;;;;;4.6;90;-4.6;left;1;1.117302273;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
14;1;77;;;;;;4.6;0;-4.6;left;1;1.453308711;left;;;;;1;134;2019_Apr_01_1214;Flow_exo_pre;3.0.5;60.12777874
