Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.470391776,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,1,1,80,,,,,,,,,,,,4.6,90,4.6,right,1,0.336391835,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,2,1,79,,,,,,,,,,,,4.6,90,-4.6,left,1,0.318793948,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,3,1,78,,,,,,,,,,,,-4.6,0,4.6,right,1,0.302660388,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,4,1,77,,,,,,,,,,,,4.6,0,4.6,right,1,0.219437409,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,5,1,76,,,,,,,,,,,,4.6,0,-4.6,left,0,0.21846403,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,6,1,77,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.369239895,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,7,1,77,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.368423992,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,8,1,77,,,,,,,,,,,,4.6,90,-4.6,left,1,0.401877526,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,9,1,76,,,,,,,,,,,,4.6,90,4.6,right,1,0.351908278,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,10,1,76,,,,,,,,,,,,4.6,90,-4.6,left,1,0.385724123,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,11,1,76,,,,,,,,,,,,4.6,0,4.6,right,1,0.31660197,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,12,1,75,,,,,,,,,,,,-4.6,90,4.6,right,1,0.319536633,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,13,1,75,,,,,,,,,,,,4.6,90,-4.6,left,1,0.435429461,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,14,1,75,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.300853193,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,15,1,74,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.219852513,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,16,1,74,,,,,,,,,,,,4.6,90,4.6,right,1,0.270410616,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,17,1,74,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.20200489,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,18,1,73,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.685294594,left,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
,19,1,73,,,,,,,,,,,,-4.6,0,4.6,right,1,0.401713764,right,,,,,,,,,2,54,2019_Mar_29_1535,Flow_exo_post,3.0.5,60.00289226,
