Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,0,90,4.6,right,1,1.173128027,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,1,1,80,,,,,,,,,,,,0,0,-4.6,left,1,0.774238497,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,2,1,79,,,,,,,,,,,,180,90,4.6,right,1,0.775158841,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,3,1,78,,,,,,,,,,,,0,0,4.6,right,1,0.850983061,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,4,1,77,,,,,,,,,,,,0,90,4.6,right,1,0.66969989,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,5,1,76,,,,,,,,,,,,0,0,4.6,right,1,0.692067393,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,6,1,75,,,,,,,,,,,,180,0,-4.6,left,1,1.520105523,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,7,1,74,,,,,,,,,,,,0,0,4.6,right,1,1.303433353,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,8,1,73,,,,,,,,,,,,180,90,-4.6,left,1,0.951818739,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,9,1,72,,,,,,,,,,,,180,90,4.6,right,1,1.256789338,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,10,1,71,,,,,,,,,,,,0,90,-4.6,left,1,1.286608505,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,11,1,70,,,,,,,,,,,,0,90,-4.6,left,1,1.49183059,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,12,1,69,,,,,,,,,,,,0,90,-4.6,left,1,1.057143735,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,13,1,68,,,,,,,,,,,,180,90,4.6,right,0,1.323130056,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,14,1,69,,,,,,,,,,,,180,0,4.6,right,1,1.307550605,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,15,1,69,,,,,,,,,,,,180,90,-4.6,left,1,1.589431957,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,16,1,69,,,,,,,,,,,,0,90,4.6,right,1,1.340966029,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,17,1,68,,,,,,,,,,,,180,90,4.6,right,1,1.327023113,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,18,1,68,,,,,,,,,,,,0,0,4.6,right,1,1.173226155,right,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,19,1,68,,,,,,,,,,,,0,90,-4.6,left,1,1.59289853,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
,20,1,67,,,,,,,,,,,,0,90,-4.6,left,1,1.275251761,left,,,,,,,,,2,3,2019_Mar_27_1845,Flow_endo_post,3.0.5,59.60012216,
