Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair3.thisTrialN,Stair3.stepSize,Stair3.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair3.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,0,4.6,right,0,1.550270944,left,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,1,1,82,,,,,,,,,,,,4.6,0,-4.6,left,1,0.899990534,left,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,2,1,81,,,,,,,,,,,,4.6,90,4.6,right,1,0.716588663,right,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,3,1,81,,,,,,,,,,,,4.6,90,4.6,right,1,0.517205258,right,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,4,1,81,,,,,,,,,,,,4.6,0,4.6,right,1,0.500418871,right,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,5,1,80,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.550163837,left,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,6,1,80,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.567965737,left,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,7,1,80,,,,,,,,,,,,4.6,0,4.6,right,1,0.599838585,right,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,8,1,79,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.500333097,left,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
,9,1,79,,,,,,,,,,,,-4.6,0,4.6,right,1,0.616669415,right,,,,,,,,,1,16,2019_Apr_03_1614,Flow_exo_post,3.0.5,60.05447374,
