Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,Time_pas_Ans.response,Time_pas_Ans.rt,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,Session,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,Friday,20.569,,,,,,,,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
0,1,81,,,,,,4.6,0,-4.6,left,1,1.7338964470000064,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
1,1,80,,,,,,-4.6,90,4.6,right,1,1.4201569719998588,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
2,1,79,,,,,,4.6,90,4.6,right,1,0.6503130979999696,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
3,1,78,,,,,,4.6,90,4.6,right,1,0.6863696480004364,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
4,1,77,,,,,,-4.6,0,4.6,right,1,0.9701446369999758,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
5,1,76,,,,,,4.6,0,4.6,right,1,0.6000753079997594,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
6,1,75,,,,,,4.6,90,-4.6,left,0,1.450745724999706,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
7,1,76,,,,,,4.6,0,4.6,right,1,0.469808465999904,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
8,1,76,,,,,,-4.6,0,-4.6,left,1,0.519387402999655,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
9,1,76,,,,,,-4.6,0,-4.6,left,1,0.5021281709996401,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
10,1,75,,,,,,4.6,90,-4.6,left,1,0.6690789550002592,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
11,1,75,,,,,,4.6,0,-4.6,left,1,1.2504372299999886,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
12,1,75,,,,,,4.6,0,4.6,right,1,0.7360901259999082,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
13,1,74,,,,,,-4.6,0,4.6,right,1,1.169649545000084,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
14,1,74,,,,,,-4.6,90,4.6,right,1,1.8862901179995788,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
15,1,74,,,,,,-4.6,90,4.6,right,1,2.6675733139995828,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
16,1,73,,,,,,-4.6,0,-4.6,left,1,0.9340340549997563,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
17,1,73,,,,,,-4.6,0,-4.6,left,1,0.5003674310000861,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
18,1,73,,,,,,-4.6,0,-4.6,left,1,0.5001155619997917,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
19,1,72,,,,,,-4.6,90,4.6,right,0,1.0531887899996946,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
20,1,73,,,,,,4.6,0,4.6,right,1,0.5527285489997666,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
21,1,73,,,,,,-4.6,0,4.6,right,1,1.4194968450001397,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
22,1,73,,,,,,4.6,0,-4.6,left,1,1.3365632329996515,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
23,1,72,,,,,,4.6,0,-4.6,left,1,0.8358163190000596,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
24,1,72,,,,,,4.6,0,-4.6,left,1,0.8331387469997935,left,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
25,1,72,,,,,,4.6,0,4.6,right,1,0.6526370300002782,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
26,1,71,,,,,,-4.6,90,4.6,right,1,0.8006208190004145,right,,,,,003,25,2019_Apr_10_1551,Flow_exo_pre,3.0.5,60.025821187454184,
