Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;90;-4.6;left;1;0.500629289;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
1;1;80;;;;0;90;-4.6;left;1;0.434194047;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
2;1;79;;;;180;0;-4.6;left;1;0.385166208;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
3;1;78;;;;180;0;-4.6;left;1;0.350922547;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
4;1;77;;;;180;90;4.6;right;1;0.35169808;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
5;1;76;;;;180;90;4.6;right;1;0.451369301;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
6;1;75;;;;0;90;-4.6;left;1;0.317541926;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
7;1;74;;;;0;90;-4.6;left;1;0.383899485;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
8;1;73;;;;180;0;4.6;right;1;0.317652393;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
9;1;72;;;;180;0;-4.6;left;1;0.41728927;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
10;1;71;;;;180;0;4.6;right;1;0.467246833;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
11;1;70;;;;0;90;-4.6;left;1;0.400810355;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
12;1;69;;;;180;90;-4.6;left;1;0.384024506;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
13;1;68;;;;180;0;4.6;right;1;0.350784909;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
14;1;67;;;;0;90;4.6;right;0;0.584096673;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
15;1;68;;;;180;90;-4.6;left;1;0.434146486;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
16;1;68;;;;180;90;4.6;right;1;0.351258415;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
17;1;68;;;;180;0;-4.6;left;1;0.367431401;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
18;1;67;;;;0;90;-4.6;left;1;0.517354805;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
19;1;67;;;;180;0;-4.6;left;1;0.433880586;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
20;1;67;;;;0;90;-4.6;left;0;1.032675363;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
21;1;68;;;;180;0;4.6;right;1;0.417328304;right;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
22;1;68;;;;0;90;-4.6;left;1;0.416193164;left;;;;;;;3;22;2016_Jan_09_1721;Flow_endo_pre;3.0.5;60.1219651
