Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,4.6,0,4.6,right,1,0.267999002,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,1,1,80,,,,,,,,,,,,4.6,90,-4.6,left,1,0.367670495,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,2,1,79,,,,,,,,,,,,-4.6,0,4.6,right,0,0.318688305,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,3,1,80,,,,,,,,,,,,4.6,0,-4.6,left,0,1.093434955,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,4,1,81,,,,,,,,,,,,-4.6,90,4.6,right,0,1.095306407,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,5,1,82,,,,,,,,,,,,-4.6,90,4.6,right,1,1.095525607,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,6,1,82,,,,,,,,,,,,-4.6,90,-4.6,left,0,1.095508623,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,7,1,83,,,,,,,,,,,,-4.6,90,-4.6,left,1,1.09551946,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,8,1,83,,,,,,,,,,,,4.6,90,4.6,right,0,1.09548533,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,9,1,84,,,,,,,,,,,,-4.6,0,-4.6,left,0,1.095532503,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,10,1,85,,,,,,,,,,,,-4.6,90,-4.6,left,1,1.09547019,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,11,1,85,,,,,,,,,,,,4.6,0,4.6,right,0,1.095566455,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,12,1,86,,,,,,,,,,,,-4.6,90,-4.6,left,0,1.093599991,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,13,1,87,,,,,,,,,,,,4.6,90,-4.6,left,1,1.095266886,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,14,1,87,,,,,,,,,,,,-4.6,0,-4.6,left,0,1.095506317,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,15,1,88,,,,,,,,,,,,4.6,0,4.6,right,0,1.095454921,left,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
,16,1,89,,,,,,,,,,,,-4.6,90,4.6,right,1,1.095453298,right,,,,,,,,,2,10,2016_Jan_07_1420,Flow_exo_post,3.0.5,60.14203383,
