Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;0;90;4.6;right;1;0.217844379;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
1;1;80;;;;0;0;4.6;right;1;0.201197083;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
2;1;79;;;;180;0;4.6;right;0;0.151499977;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
3;1;80;;;;180;90;4.6;right;1;0.201305253;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
4;1;80;;;;180;0;-4.6;left;1;0.233397062;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
5;1;80;;;;180;0;4.6;right;1;0.317843225;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
6;1;79;;;;0;90;-4.6;left;1;0.251310053;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
7;1;79;;;;0;0;4.6;right;1;0.234550914;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
8;1;79;;;;180;90;4.6;right;1;0.217906114;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
9;1;78;;;;0;0;4.6;right;1;0.217947369;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
10;1;78;;;;0;90;-4.6;left;0;0.218036672;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
11;1;79;;;;0;90;-4.6;left;1;1.094544518;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
12;1;79;;;;0;0;-4.6;left;1;1.095797719;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
13;1;79;;;;0;0;-4.6;left;1;1.095792462;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
14;1;78;;;;180;90;4.6;right;0;1.095789107;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
15;1;79;;;;0;0;4.6;right;1;1.09574956;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
16;1;79;;;;0;0;4.6;right;1;1.095864066;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
17;1;79;;;;180;0;4.6;right;1;1.095680244;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
18;1;78;;;;0;90;-4.6;left;0;1.095907355;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
19;1;79;;;;180;0;4.6;right;0;1.095793943;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
20;1;80;;;;180;90;-4.6;left;0;1.095784442;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
21;1;81;;;;180;90;4.6;right;0;1.095794291;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
22;1;82;;;;0;90;4.6;right;1;1.095789251;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
23;1;82;;;;180;90;-4.6;left;0;1.095798294;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
24;1;83;;;;0;90;-4.6;left;1;1.095675296;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
25;1;83;;;;180;0;-4.6;left;1;1.095818158;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
26;1;83;;;;0;0;-4.6;left;1;1.095904718;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
27;1;82;;;;180;0;4.6;right;0;1.09580738;left;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
28;1;83;;;;0;0;4.6;right;1;1.095783742;right;;;;;;;2;21;2016_Jan_04_1544;Flow_endo_pre;3.0.5;60.14840054
