Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,Time_pas_Ans.response,Time_pas_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
0,1,81,,,,180,0,4.6,right,1,33.33791719994042,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
1,1,80,,,,0,0,-4.6,left,1,4.421018699998967,left,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
2,1,79,,,,180,90,4.6,right,1,1.536367499968037,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
3,1,78,,,,180,0,4.6,right,1,0.9533692001132295,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
4,1,77,,,,0,90,4.6,right,1,1.2022146999370307,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
5,1,76,,,,180,0,4.6,right,1,1.151538500096649,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
6,1,75,,,,180,90,4.6,right,1,1.4369339999975637,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
7,1,74,,,,180,0,4.6,right,1,1.0016066000098363,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
8,1,73,,,,180,90,-4.6,left,1,0.8682586000068113,left,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
9,1,72,,,,180,90,4.6,right,1,0.8670301000820473,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
10,1,71,,,,0,90,4.6,right,1,1.0520484000444412,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
11,1,70,,,,0,0,-4.6,left,1,0.802168200025335,left,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
12,1,69,,,,0,0,4.6,right,0,1.5695428000763059,left,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
13,1,70,,,,0,90,4.6,right,1,0.7519690999761224,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
14,1,70,,,,0,0,-4.6,left,1,1.2696802000282332,left,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
15,1,70,,,,0,90,4.6,right,1,1.2188896000152454,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
16,1,69,,,,0,90,4.6,right,1,1.3358416999690235,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
17,1,69,,,,0,90,-4.6,left,0,2.102868500049226,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
18,1,70,,,,0,90,-4.6,left,0,1.151705100084655,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
19,1,71,,,,0,90,4.6,right,1,0.9687713999301195,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
20,1,71,,,,0,90,-4.6,left,1,4.055240800022148,left,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
21,1,71,,,,0,90,4.6,right,1,0.9520667999750003,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
22,1,70,,,,0,0,4.6,right,1,1.0855942000634968,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
23,1,70,,,,180,0,-4.6,left,0,1.720303799957037,right,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
24,1,71,,,,180,90,-4.6,left,1,1.6694741999963298,left,,,,,,,001,4,2019_Mar_27_1328,Flow_endo_pre,3.0.5,59.91220464242159,
