Stair.thisTrialN;Stair.stepSize;Stair.intensity;Stair2.thisTrialN;Stair2.stepSize;Stair2.intensity;cueOri;targetXOri;targetXPos;CorrectAns;Stair.response;keyPress.rt;keyPress.rl;cueExoPos;Stair2.response;keyPress_2.rt;keyPress_2.rl;Time_pas_Ans.response;Time_pas_Ans.rt;Session;Participant;date;expName;psychopyVersion;frameRate
0;1;81;;;;180;0;-4.6;left;1;1.750110303;left;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
1;1;80;;;;0;90;4.6;right;1;0.933338731;right;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
2;1;79;;;;0;90;4.6;right;1;0.733645349;right;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
3;1;78;;;;0;0;4.6;right;1;0.999939879;right;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
4;1;77;;;;180;90;4.6;right;1;0.683930973;right;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
5;1;76;;;;0;0;4.6;right;1;0.816863693;right;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
6;1;75;;;;180;90;-4.6;left;1;0.519065678;left;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
7;1;74;;;;180;90;-4.6;left;1;0.534208937;left;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
8;1;73;;;;0;90;-4.6;left;1;0.58391604;left;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
9;1;72;;;;0;90;-4.6;left;1;0.586453734;left;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
10;1;71;;;;0;90;4.6;right;1;0.517248953;right;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
11;1;70;;;;0;90;-4.6;left;1;1.083366222;left;;;;;;;2;255;2019_Apr_05_1551;Flow_endo_pre;3.0.5;60.06645892
